family,condition_label,training_seed,paired_count,mean_b_fault_window_rmse,mean_c3_fault_window_rmse,mean_c3_minus_b_fault_window_rmse,sample_sd_c3_minus_b_fault_window_rmse,favorable_pair_count,mean_effect_favorable,c3_detection_probability,c3_mean_sub_fraction,c3_mean_frac_phys,c3_mean_frac_main,c3_mean_frac_aux,c3_mean_frac_fb,c3_mean_event_frac_phys,c3_mean_event_frac_main,c3_mean_event_frac_aux,c3_mean_event_frac_fb
drift,drift_5pct,2028,5,1.7091764243077598,1.7084002118687098,-0.0007762124390498393,0.0022746092812164337,2,True,0.0,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.999002493765586,0.000997506234413965,0.0,0.0
dropout,dropout_0.1s,2026,5,0.4802089624192168,0.799138418408657,0.3189294559894402,1.0391652110720766,4,False,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
dropout,dropout_0.1s,2027,5,0.9282854933955751,2.116089621270977,1.1878041278754021,1.8394362511474558,0,False,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
dropout,dropout_0.1s,2028,5,0.47893050052116604,0.3473938750203148,-0.13153662550085113,0.02419616764766639,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
dropout,dropout_0.5s,2026,5,4.557129453391659,1.0659582311601237,-3.491171222231535,0.9893801429157423,5,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
dropout,dropout_0.5s,2027,5,2.9069906669500147,1.5538715238853371,-1.3531191430646774,0.7126417157166799,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
dropout,dropout_0.5s,2028,5,4.760215926555853,0.5112557999357612,-4.2489601266200925,0.2871739635780897,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
dropout,dropout_1s,2026,5,10.864304952975514,0.9770438217300935,-9.88726113124542,0.822400448330174,5,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
dropout,dropout_1s,2027,5,9.165982594234684,1.3181727995602128,-7.84780979467447,0.544031240571334,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
dropout,dropout_1s,2028,5,11.107238064824438,0.5491632208266986,-10.55807484399774,0.47787350422093156,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
