family,condition_label,training_seed,simulation_seed,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,favorable_c3_minus_b,b_overall_rmse,c3_overall_rmse,c3_sensor_fault_detected,c3_detection_latency_s,c3_reliability_entries,c3_post_event_reliability_entries,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_recovery_events,c3_recovery_latency_s,c3_recovered_after_event
drift,drift_15pct,2026,59030,,,15.0,,5.289564454011521,3.097188467308177,-2.192375986703344,True,11.646187132448416,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_15pct,2027,59026,,,15.0,,4.883330309873683,0.9956148555926004,-3.8877154542810826,True,11.539657212092543,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_15pct,2027,59027,,,15.0,,4.840097170923736,0.9832465111712283,-3.8568506597525074,True,11.530684503201162,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_15pct,2027,59028,,,15.0,,4.868040256864268,4.868040256864268,0.0,False,11.541401336663599,11.541401336663599,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_15pct,2027,59029,,,15.0,,4.887322610273314,2.2394277280565777,-2.647894882216736,True,11.532809128209857,10.973359991716645,True,1.7600000000000002,1,1,0.3777038269550749,0.6222961730449251,0.3777038269550749,0.0,0.0,0.4339152119700748,0.5660847880299252,0.0,0.0,0,,
drift,drift_15pct,2027,59030,,,15.0,,4.853738439277197,1.2334184724866781,-3.6203199667905186,True,11.523789309518703,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,
drift,drift_15pct,2028,59026,,,15.0,,5.218527461534732,5.218527461534732,0.0,False,11.622803777030336,11.622803777030336,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_15pct,2028,59027,,,15.0,,5.181077870098415,5.181077870098415,0.0,False,11.610284198612913,11.610284198612913,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_15pct,2028,59028,,,15.0,,5.220961775083086,5.220961775083086,0.0,False,11.623718062216579,11.623718062216579,False,,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
drift,drift_15pct,2028,59029,,,15.0,,5.227198722841278,5.22713328567474,-6.54371665378406e-05,True,11.623764397986164,11.623744763739294,False,,0,0,0.0016638935108153079,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.9975062344139651,0.0024937655860349127,0.0,0.0,0,,
drift,drift_15pct,2028,59030,,,15.0,,5.211954938486005,5.208260229266167,-0.003694709219837833,True,11.627237175060799,11.626146328147993,False,,0,0,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,0,,
