family,condition_label,training_seed,run_count,detection_probability,mean_detection_latency_s_when_detected,mean_substitution_fraction,mean_frac_phys,mean_frac_main,mean_frac_aux,mean_frac_fb,mean_event_frac_phys,mean_event_frac_main,mean_event_frac_aux,mean_event_frac_fb,total_recovery_events,recovery_probability_when_defined,mean_recovery_latency_s_when_defined,mean_post_event_reliability_active_duration_s_when_defined,mean_total_sub_duration_s,mean_source_switch_episode_duration_s
combined_bias_load,combined_bias_5pct_load_0.15Nm,2028,5,1.0,0.020000000000000018,0.502495840266223,0.49750415973377704,0.10316139767054908,0.39933444259567386,0.0,0.0,0.20265780730897007,0.79734219269103,0.0,0,,,2.98,3.0200000000000005,1.382857142857143
combined_bias_load,combined_bias_5pct_load_0.1Nm,2026,5,0.8,0.020000000000000018,0.5853577371048253,0.4146422628951747,0.14875207986688851,0.43660565723793676,0.0,0.0,0.22524916943521597,0.7747508305647841,0.0,0,,,2.98,3.518,1.4514285714285715
combined_bias_load,combined_bias_5pct_load_0.1Nm,2027,5,0.2,0.020000000000000018,0.7693843594009983,0.23061564059900164,0.1410981697171381,0.6282861896838602,0.0,0.0,0.11162790697674418,0.8883720930232558,0.0,0,,,2.98,4.6240000000000006,1.8799999999999997
combined_bias_load,combined_bias_5pct_load_0.1Nm,2028,5,1.0,0.020000000000000018,0.502495840266223,0.49750415973377704,0.1973377703826955,0.30515806988352745,0.0,0.0,0.3906976744186047,0.6093023255813954,0.0,0,,,2.98,3.0200000000000005,1.382857142857143
drift,drift_10pct,2026,5,0.0,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0,0,,,,1.112,3.1199999999999997
drift,drift_10pct,2027,5,0.2,1.7600000000000002,0.6119800332778702,0.3880199667221298,0.1281198003327787,0.48386023294509145,0.0,0.286783042394015,0.11321695760598505,0.6,0.0,0,,,2.2399999999999998,3.678,2.6399999999999997
drift,drift_10pct,2028,5,0.0,,0.0016638935108153076,0.9983361064891847,0.0016638935108153076,0.0,0.0,0.9995012468827931,0.0004987531172069825,0.0,0.0,0,,,,0.01,3.28
drift,drift_15pct,2026,5,0.2,2.2800000000000002,0.24292845257903495,0.757071547420965,0.03594009983361065,0.2069883527454243,0.0,0.712219451371571,0.0004987531172069825,0.28728179551122196,0.0,0,,,1.7199999999999998,1.4600000000000002,3.1799999999999997
drift,drift_15pct,2027,5,0.2,1.7600000000000002,0.6119800332778702,0.3880199667221298,0.1281198003327787,0.48386023294509145,0.0,0.286783042394015,0.11321695760598505,0.6,0.0,0,,,2.2399999999999998,3.678,2.6399999999999997
drift,drift_15pct,2028,5,0.0,,0.0016638935108153076,0.9983361064891847,0.0016638935108153076,0.0,0.0,0.9995012468827931,0.0004987531172069825,0.0,0.0,0,,,,0.01,3.28
drift,drift_2.5pct,2026,5,0.0,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0,0,,,,1.112,3.1199999999999997
drift,drift_2.5pct,2027,5,0.2,0.03000000000000025,0.6139767054908486,0.3860232945091514,0.13011647254575706,0.48386023294509145,0.0,0.28379052369077307,0.11620947630922693,0.6,0.0,1,,,0.05999999999999961,3.6900000000000004,2.59
drift,drift_2.5pct,2028,5,0.0,,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.999002493765586,0.000997506234413965,0.0,0.0,0,,,,0.012,3.1199999999999997
drift,drift_5pct,2026,5,0.0,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0,0,,,,1.112,3.1199999999999997
drift,drift_5pct,2027,5,0.2,0.03000000000000025,0.6139767054908486,0.3860232945091514,0.13011647254575706,0.48386023294509145,0.0,0.28379052369077307,0.11620947630922693,0.6,0.0,1,,,0.05999999999999961,3.6900000000000004,2.59
drift,drift_5pct,2028,5,0.0,,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.999002493765586,0.000997506234413965,0.0,0.0,0,,,,0.012,3.1199999999999997
dropout,dropout_0.1s,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
dropout,dropout_0.1s,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
dropout,dropout_0.1s,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
dropout,dropout_0.5s,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
dropout,dropout_0.5s,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
dropout,dropout_0.5s,2028,5,1.0,0.020000000000000018,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,3.9799999999999995,4.018,2.2
dropout,dropout_1s,2026,5,0.8,0.020000000000000018,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0,0,0.0,,3.98,4.316,2.2399999999999998
dropout,dropout_1s,2027,5,0.4,0.020000000000000018,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0,0,0.0,,3.98,4.828,2.44
