matrix,family,condition_id,current_case,training_seed,simulation_seed,controller,step,time_s,event,raw_main_residual,aux_residual,cusum_score
primary,bias,bias_pct_10,,2026,59028,C3_arbitration_MPC,202,2.02,entry,6.5679407549906585,7.680839927721443,19.077181200411616
primary,bias,bias_pct_10,,2026,59029,C3_arbitration_MPC,202,2.02,entry,6.090392618753661,8.408393697346419,17.80437063955066
primary,bias,bias_pct_10,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,bias,bias_pct_10,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,bias,bias_pct_10,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,bias,bias_pct_10,,2027,59028,C3_arbitration_MPC,202,2.02,entry,6.312447558571982,6.617120690514071,18.287435383942846
primary,bias,bias_pct_10,,2027,59029,C3_arbitration_MPC,202,2.02,entry,6.0095997892269395,6.466801369989966,17.457623392148296
primary,bias,bias_pct_10,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,bias,bias_pct_10,,2028,59026,C3_arbitration_MPC,202,2.02,entry,6.64907992859559,7.580805038602449,19.0426554678447
primary,bias,bias_pct_10,,2028,59027,C3_arbitration_MPC,202,2.02,entry,6.452012654709485,8.07089135049636,19.32311831931156
primary,bias,bias_pct_10,,2028,59028,C3_arbitration_MPC,202,2.02,entry,6.633827642852552,7.307473089719707,19.31884155234517
primary,bias,bias_pct_10,,2028,59029,C3_arbitration_MPC,202,2.02,entry,6.206769178197042,7.891188197332291,18.321928414658977
primary,bias,bias_pct_10,,2028,59030,C3_arbitration_MPC,202,2.02,entry,6.58925770339571,7.799902926815527,19.584572511069474
primary,bias,bias_pct_15,,2026,59026,C3_arbitration_MPC,202,2.02,entry,9.844175852836429,11.258029645989872,28.66776977199729
primary,bias,bias_pct_15,,2026,59027,C3_arbitration_MPC,202,2.02,entry,9.65224985491161,11.6653494884917,28.907155352105733
primary,bias,bias_pct_15,,2026,59028,C3_arbitration_MPC,202,2.02,entry,9.829659504990659,10.942558677721443,28.862337450411616
primary,bias,bias_pct_15,,2026,59029,C3_arbitration_MPC,202,2.02,entry,9.352111368753661,11.670112447346419,27.58952688955066
primary,bias,bias_pct_15,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,bias,bias_pct_15,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,bias,bias_pct_15,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,bias,bias_pct_15,,2027,59028,C3_arbitration_MPC,202,2.02,entry,9.574166308571982,9.87883944051407,28.072591633942846
primary,bias,bias_pct_15,,2027,59029,C3_arbitration_MPC,202,2.02,entry,9.27131853922694,9.728520119989966,27.242779642148296
primary,bias,bias_pct_15,,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
primary,bias,bias_pct_15,,2028,59026,C3_arbitration_MPC,202,2.02,entry,9.91079867859559,10.842523788602449,28.827811717844696
primary,bias,bias_pct_15,,2028,59027,C3_arbitration_MPC,202,2.02,entry,9.713731404709485,11.33261010049636,29.108274569311558
primary,bias,bias_pct_15,,2028,59028,C3_arbitration_MPC,202,2.02,entry,9.895546392852552,10.569191839719707,29.10399780234517
primary,bias,bias_pct_15,,2028,59029,C3_arbitration_MPC,202,2.02,entry,9.468487928197042,11.15290694733229,28.107084664658974
primary,bias,bias_pct_15,,2028,59030,C3_arbitration_MPC,202,2.02,entry,9.85097645339571,11.061621676815527,29.369728761069474
primary,bias,bias_pct_2.5,,2026,59026,C3_arbitration_MPC,202,2.02,entry,1.689878977836429,3.103732770989872,4.204879146997292
primary,bias,bias_pct_2.5,,2026,59027,C3_arbitration_MPC,202,2.02,entry,1.4979529799116094,3.5110526134916995,4.444264727105735
primary,bias,bias_pct_2.5,,2026,59028,C3_arbitration_MPC,202,2.02,entry,1.6753626299906585,2.7882618027214434,4.399446825411616
primary,bias,bias_pct_2.5,,2026,59029,C3_arbitration_MPC,202,2.02,entry,0.9835200601599112,3.515815572346419,2.912341830956911
primary,bias,bias_pct_2.5,,2026,59030,C3_arbitration_MPC,50,0.5,entry,0.05629739013123469,-3.9695395312190946,1.8314012503204462
primary,bias,bias_pct_2.5,,2027,59026,C3_arbitration_MPC,87,0.87,entry,6.732220998929044,6.866344439074986,13.971120063437493
primary,bias,bias_pct_2.5,,2027,59027,C3_arbitration_MPC,48,0.48,entry,0.9876360711057721,1.470402811343451,3.413989507632129
primary,bias,bias_pct_2.5,,2027,59028,C3_arbitration_MPC,202,2.02,entry,1.4198694335719821,1.7245425655140707,3.609701008942846
primary,bias,bias_pct_2.5,,2027,59029,C3_arbitration_MPC,202,2.02,entry,0.675294979656627,1.574223244989966,2.3381623325779834
