controller,scenario,repetitions,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events,RMSE_std,MAE_std,IAE_std,ISE_std,max_abs_error_std,overshoot_percent_std,settling_time_s_std,recovery_time_s_std,fault_interval_RMSE_std,fault_interval_IAE_std,fault_interval_ISE_std,fault_interval_peak_error_std,control_effort_sum_u2_std,control_variation_sum_du2_std,constraint_violations_std,voltage_violations_std,rate_violations_std,nonfinite_events_std,optimizer_failures_std,average_solve_ms_std,p95_solve_ms_std,max_solve_ms_std,tail_oscillation_std,sensor_substitution_rate_std,medium_mode_fraction_std,high_mode_fraction_std,safety_events_std
C_sensor_MPC,sensor_drift,5,11.575913623240556,7.338220566986955,43.88317450226049,798.8292483268917,35.062866971590225,8.689207249348943,1.564,0.0,5.0659458877147765,17.501298642624736,102.51658673612428,8.906221066222923,5322.722048155023,147.48779714603526,0.0,0.0,0.0,0.0,0.0,85.43767537173626,140.47478000138653,182.95014000032097,2.386540982887598,0.004658901830282862,0.0,0.0,0.0,0.006967704760778231,0.04751879076527183,0.28554175688828654,0.9734354969184008,3.1311926205313858e-12,1.5488923054223305,0.052249401910452645,0.0,0.024980872634900012,0.13740426192255248,1.0258574494128685,0.11860264390127118,98.38576591413418,13.24699280230709,0.0,0.0,0.0,0.0,0.0,17.67785245164875,28.29526277605982,36.89936423801326,0.2551239983137231,0.005691391473040622,0.0,0.0,0.0
C_sensor_MPC,sensor_dropout,5,10.816511455636677,4.606211263525845,27.507886031537595,697.0265415316046,35.062866971588775,8.942188887916036,1.574,0.0,0.47110094147333925,0.8077162395468086,0.4901889133224057,1.006869345647263,6250.524622653791,129.28647779002284,0.0,0.0,0.0,0.0,0.0,61.678311404938555,122.21690000005765,150.11902000114787,0.33338081738499453,0.3410981697171381,0.0,0.0,0.0,0.00458535983113221,0.06964019548311355,0.41853779049868145,0.5962753041436185,0.0,0.8015971724393531,0.02792848008753795,0.0,0.17288324895455648,0.37394312144062036,0.3434226632648863,0.297853391374941,52.806276615563895,16.29937303854123,0.0,0.0,0.0,0.0,0.0,7.189970006876824,17.026385270576093,25.46780678895947,0.05252993695234036,0.00235310076933961,0.0,0.0,0.0
C_sensor_MPC,sensor_noise,5,10.820795096137962,4.704085989646457,28.096157106167635,697.5836954118361,35.06286697159055,8.40781865398422,1.556,0.0,0.6050125534545315,0.9994792356315262,0.8287444953650406,1.2364164928570829,6220.233466367475,126.79735885851933,0.0,0.0,0.0,0.0,0.0,74.21924727276152,139.66742000047816,181.3056200000574,0.630460960918704,0.4086522462562396,0.0,0.0,0.0,0.006691434242502841,0.13801673827893565,0.8297467485098038,0.8703396902177342,1.3718352011244692e-12,1.3234631318511851,0.04615192303685736,0.0,0.25040524223664573,0.43858315665488345,0.663205307568181,0.4956263547346734,67.08658257378232,13.570274791383001,0.0,0.0,0.0,0.0,0.0,25.983835416152427,49.50424155112948,75.38223305432456,0.48659915700585377,0.08775046891456752,0.0,0.0,0.0
C_sensor_MPC,step_reference,5,7.067956164902746,3.7721436267160646,22.57007596832049,298.23879215692915,20.062866971589205,4.422432811232049,0.77,0.77,7.067956164902746,22.57007596832049,298.23879215692915,20.062866971589205,7181.2142483744665,166.2519618082305,0.0,0.0,0.0,0.0,0.0,69.86488677685875,127.09317999979248,154.17864000046393,0.352805827340471,0.0009983361064891847,0.0,0.0,0.0,0.026108968575746263,0.03173501912103855,0.19043847337080075,2.223440921409035,4.719897452640404e-13,0.6250089406657527,0.1341640786499875,0.1341640786499875,0.026108968575746263,0.19043847337080075,2.223440921409035,4.719897452640404e-13,49.83660955088628,17.50870505290936,0.0,0.0,0.0,0.0,0.0,7.726596349733817,14.404314209445015,21.615293246290403,0.1657830301744201,0.0009113520091600102,0.0,0.0,0.0
D_adaptive,bias_15,5,10.833933843264685,4.662843738329232,27.84839552414469,699.2938252441716,35.06286697159158,11.701433773266709,1.748,0.0,0.43183173728198804,0.6731066610055293,0.39261962000847644,1.225366349011209,6308.174623174165,119.25042148087175,0.0,0.0,0.0,0.0,0.0,61.62128214871565,114.20481999812182,140.91059999918798,0.3325678669736945,0.3420965058236273,0.0632279534109817,0.004658901830282862,0.0,0.00880437588838491,0.04926614546545658,0.29617709258665326,1.1465684366105418,4.843683108707224e-12,0.8035271108217854,0.19740820651634527,0.0,0.1344360792799139,0.14996595581344535,0.2547096939130436,0.6427339178700774,80.63440355791042,11.077867496241883,0.0,0.0,0.0,0.0,0.0,14.758181280332366,25.287500826345273,20.271922163965638,0.05185990614321269,0.0059529263960061436,0.06522165431786901,0.005442737848185067,0.0
D_adaptive,bias_5,5,10.867118411885208,4.8120352231126216,28.744205907308167,703.6295604186068,35.0628669715898,14.35851318776838,1.8960000000000001,0.0,0.6634997667624647,1.0399294930044731,1.1587170232462085,1.637411220486689,6483.1582650569,132.14530924706165,0.0,0.0,0.0,0.0,0.0,66.24789900836257,123.87871999962954,157.03342000051634,0.3732354369300765,0.3420965058236273,0.13677204658901831,0.015640599001663893,0.0,0.041622488045826855,0.21895178701768755,1.3161894001444663,5.447435545176304,1.1271568550844135e-12,2.5766891652833706,0.2638749703931769,0.0,0.4247518255732301,0.8039158184755929,1.593292179015358,0.5727852568010094,208.78023562114635,15.095321241613455,0.0,0.0,0.0,0.0,0.0,16.47180603676703,20.881498902986518,19.08851630247965,0.13770626917277473,0.004176339566725855,0.19477293239161209,0.017355613724333172,0.0
D_adaptive,changing_reference,5,7.216514932656461,4.290395526456495,25.68441597768939,310.99518268118265,20.109645655078655,36.257461353027914,0.8580000000000002,0.8580000000000002,7.216514932656461,25.68441597768939,310.99518268118265,20.109645655078655,6685.301027109611,220.0767731651374,0.0,0.0,0.0,0.0,0.0,63.41186760326324,130.4284199984977,165.32098000170663,2.1274177337336817,0.00033277870216306157,0.06921797004991681,0.013976705490848585,0.0,0.03549961436277121,0.08034885282924677,0.48256799958319846,3.0812118195292544,0.1046003161808491,1.3170862082486925,0.26602631448787156,0.26602631448787156,0.03549961436277121,0.48256799958319846,3.0812118195292544,0.1046003161808491,53.37236909010361,10.387446494803475,0.0,0.0,0.0,0.0,0.0,9.324872256881358,21.23971421290256,22.164485107192657,0.8919798358475668,0.000744115799500762,0.09619405720172353,0.00650835514662494,0.0
D_adaptive,combined_fault_load,5,11.153695063522267,6.430816823707853,38.45522018251605,741.4804668905065,35.062866971592086,11.821915140426938,1.83,,3.7177533445549855,10.919972482122397,41.54283531872175,4.783657234495815,7969.9803737537,148.60161561937463,0.0,0.0,0.0,0.0,0.0,79.78199718999657,139.8990399989998,177.15980000066338,0.2910887270224592,0.043926788685524125,0.1930116472545757,0.007653910149750416,0.0,0.02903492467625517,0.10784831377404408,0.6481887315326533,3.8969060869683805,4.107198233332915e-12,2.4198891255982726,0.20988091861815342,,0.06997641394259245,0.1418396039540935,1.5834609480697694,0.5202628909910848,137.89399372047356,13.130424928024835,0.0,0.0,0.0,0.0,0.0,15.996995938172924,27.19238005912658,33.6243423841355,0.1792352654671269,0.004338903431083292,0.12503581287689977,0.010497045121855245,0.0
D_adaptive,load_disturbance,5,10.86834341845209,5.053588157860695,30.19326808628291,703.7821161585005,35.062866971588775,13.30192173675269,1.78,0.07199999999999998,0.8859740835880061,2.5121837556096875,2.3627578853376603,1.7712929897481984,8565.275987004115,149.64696670532038,0.0,0.0,0.0,0.0,0.0,79.89953173557055,141.61928000248736,175.73966000054497,0.4097834053182467,0.0006655574043261231,0.1966722129783694,0.013643926788685524,0.0,0.026849441149009428,0.12364125170826182,0.74294452045148,3.5076608707724697,0.0,2.7358727047135303,0.22124646889837593,0.16099689437998482,0.035389978372494586,0.08569970337424797,0.1932145446192058,0.1530495825408031,121.71640677633786,14.25072618377424,0.0,0.0,0.0,0.0,0.0,19.892526281053218,36.1694729591962,39.19167438669357,0.12746877733626485,0.0009113520091600101,0.08671743040224547,0.010615066827112532,0.0
D_adaptive,nominal_tracking,5,10.83227375241986,4.639589859289658,27.70835654938744,699.0774639530673,35.06286697159267,11.537049735503425,1.666,1.666,10.83227375241986,27.70835654938744,699.0774639530673,35.06286697159267,6382.663073695293,151.4503422114834,0.0,0.0,0.0,0.0,0.0,72.37891206601519,128.4877799989772,154.10201999911806,0.4879465617753155,0.0013311148086522463,0.04459234608985025,0.005657237936772046,0.0,0.0073484209537674275,0.03634454008896159,0.21806646245270617,0.9567503558608229,2.4266724897257443e-12,1.176367871076521,0.02880972058177584,0.02880972058177584,0.0073484209537674275,0.21806646245270617,0.9567503558608229,2.4266724897257443e-12,95.524191590174,9.202253574254145,0.0,0.0,0.0,0.0,0.0,14.643902653315239,31.5173599250121,35.288864321335815,0.24812139529509322,0.0013921131889086116,0.02354277025733643,0.005593256676862433,0.0
