scenario,seed,step,time_s,raw_residual,residual_gate,cusum_score,cusum_threshold,prior_healthy_run,exit_count,aux_residual,aux_recovery_gate,residual_condition,cusum_condition,persistence_condition,auxiliary_condition,blocked_by_residual,blocked_by_cusum,blocked_by_persistence,blocked_only_by_auxiliary,recovered_this_step
combined_fault_load,29026,313,3.13,1.010432010307234,0.937210063934329,29.3819552324485,1.5696827323213676,0,5,1.3173763681560118,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,314,3.14,0.9339972236389542,0.937210063934329,30.184983375407874,1.5696827323213676,0,5,1.4296832881896364,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,315,3.15,1.3566120898717458,0.937210063934329,31.41062638460004,1.5696827323213676,0,5,2.0574091456667034,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,316,3.16,1.7865458794067592,0.937210063934329,33.06620318332722,1.5696827323213676,0,5,2.6127515989854544,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,317,3.17,0.681503816314418,0.937210063934329,33.61673791896206,1.5696827323213676,0,5,1.6301693610749908,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,318,3.18,0.7108194140748836,0.937210063934329,34.196588252357365,1.5696827323213676,0,5,1.776475283658172,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,319,3.19,0.4961624824221005,0.937210063934329,34.56178165409989,1.5696827323213676,0,5,1.6747204049334385,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,320,3.2,0.2626581335107119,0.937210063934329,34.69347070693102,1.5696827323213676,0,5,1.5598034407031989,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,321,3.21,0.757113560822809,0.937210063934329,35.319615187074255,1.5696827323213676,0,5,2.2053673608961972,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,322,3.22,0.5856975614902922,0.937210063934329,35.77434366788497,1.5696827323213676,0,5,2.1798803701953844,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,323,3.23,-0.04223509644211276,0.937210063934329,35.60113949076328,1.5696827323213676,0,5,1.6871632721360754,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,324,3.24,0.15506583603005453,0.937210063934329,35.62523624611376,1.5696827323213676,0,5,2.006865636947346,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,325,3.25,-0.23952444702097608,0.937210063934329,35.254742718413205,1.5696827323213676,0,5,1.7309082671502267,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,326,3.2600000000000002,-0.02721418773428752,0.937210063934329,35.09655944999934,1.5696827323213676,0,5,2.088113208667288,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,327,3.27,-0.18430230584391438,0.937210063934329,34.78128806347585,1.5696827323213676,0,5,2.0698780505167917,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,328,3.2800000000000002,-0.23401207571208715,0.937210063934329,34.416306907084184,1.5696827323213676,0,5,2.1461039795677053,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,329,3.29,-0.4773162536852311,0.937210063934329,33.808021572719376,1.5696827323213676,0,5,2.0118264681101508,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,330,3.3000000000000003,-1.0729755192796233,0.937210063934329,32.604076972760176,1.5696827323213676,0,5,1.5160788345737402,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,331,3.31,-0.9579507741822795,0.937210063934329,31.515157117898315,1.5696827323213676,0,5,1.7587437784537414,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,332,3.3200000000000003,-0.932632870522653,0.937210063934329,30.45155516669608,1.5696827323213676,0,5,1.9030885373488502,9.047693252563477,True,False,False,True,False,True,False,False,False
combined_fault_load,29026,333,3.33,-1.1169712570602428,0.937210063934329,29.20361482895626,1.5696827323213676,0,5,1.825005849811383,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,334,3.34,-1.1928984575666277,0.937210063934329,27.87974729071005,1.5696827323213676,0,5,1.8411789508458156,9.047693252563477,False,False,False,True,True,True,False,False,False
combined_fault_load,29026,335,3.35,-1.0946543206292603,0.937210063934329,26.65412388940121,1.5696827323213676,0,5,2.0255685148021065,9.047693252563477,False,False,False,True,True,True,False,False,False
