controller,scenario,seed,sub_samples,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,corrupted_rmse,corrupted_mae
C1_sensor_MPC,sensor_bias_5,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,2.315535007020555,1.7287549760808587
C2_aux_recovery_MPC,sensor_bias_5,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,2.315535007020555,1.7287549760808587
C1_sensor_MPC,sensor_bias_5,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,2.327939196611021,1.7267362635507388
C2_aux_recovery_MPC,sensor_bias_5,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,2.327939196611021,1.7267362635507388
C1_sensor_MPC,sensor_bias_15,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,6.917277757803397,4.984815233983773
C2_aux_recovery_MPC,sensor_bias_15,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,6.917277757803397,4.984815233983773
C1_sensor_MPC,sensor_bias_15,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,6.914924427256542,4.987584749338457
C2_aux_recovery_MPC,sensor_bias_15,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,6.914924427256542,4.987584749338457
C1_sensor_MPC,sensor_bias_15,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,6.9296211811974295,4.995115028413737
C2_aux_recovery_MPC,sensor_bias_15,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,6.9296211811974295,4.995115028413737
C1_sensor_MPC,sensor_bias_15,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,6.91364181856281,4.982339764110784
C2_aux_recovery_MPC,sensor_bias_15,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,6.91364181856281,4.982339764110784
C1_sensor_MPC,sensor_bias_15,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,6.926877680561356,4.980321051580663
C2_aux_recovery_MPC,sensor_bias_15,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,6.926877680561356,4.980321051580663
C1_sensor_MPC,sensor_dropout,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,24.521545210072272,17.419717174896768
C2_aux_recovery_MPC,sensor_dropout,19026,401,0.35600194274747765,0.3510573705935613,0.24281486273907943,0.18585912975505753,24.521545210072272,17.419717174896768
C1_sensor_MPC,sensor_dropout,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,24.838137168925204,17.647962199679
C2_aux_recovery_MPC,sensor_dropout,19027,401,0.2626660256544832,0.2392307741019733,0.33563167883687456,0.23840558035618153,24.838137168925204,17.647962199679
C1_sensor_MPC,sensor_dropout,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,24.52921456597616,17.426656510009774
C2_aux_recovery_MPC,sensor_dropout,19028,401,0.3471331455598059,0.33869397380194355,0.4553563298052101,0.2788509059171409,24.52921456597616,17.426656510009774
C1_sensor_MPC,sensor_dropout,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,24.787121395981313,17.60687060269631
C2_aux_recovery_MPC,sensor_dropout,19029,401,0.24087065733786578,0.21737244151777826,0.4276703010005139,0.27870666847972075,24.787121395981313,17.60687060269631
C1_sensor_MPC,sensor_dropout,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,24.536752474141544,17.41787725272394
C2_aux_recovery_MPC,sensor_dropout,19030,401,0.37734757588213813,0.3726213113764073,0.46247238976167454,0.303452409026654,24.536752474141544,17.41787725272394
C1_sensor_MPC,sensor_drift,19030,1,4.661928406963739,4.661928406963739,0.7533946909518363,0.7533946909518363,3.7064946238061722,3.7064946238061722
C2_aux_recovery_MPC,sensor_drift,19030,1,4.661928406963739,4.661928406963739,0.7533946909518363,0.7533946909518363,3.7064946238061722,3.7064946238061722
C1_sensor_MPC,load_disturbance,19027,7,0.24610921529167326,0.24455369746079875,1.1148380579717112,1.088055962077804,0.38277057894771727,0.33029605353927344
C2_aux_recovery_MPC,load_disturbance,19027,7,0.24610921529167326,0.24455369746079875,1.1148380579717112,1.088055962077804,0.38277057894771727,0.33029605353927344
C1_sensor_MPC,load_disturbance,19029,164,8.03230606953922,7.180823065440766,0.934067330611237,0.8113834648806402,0.25563312055614257,0.20274143736365766
C2_aux_recovery_MPC,load_disturbance,19029,164,8.03230606953922,7.180823065440766,0.934067330611237,0.8113834648806402,0.25563312055614257,0.20274143736365766
C1_sensor_MPC,load_disturbance,19030,7,0.25744810797804957,0.25421125639605535,0.7381179412684041,0.732870078606861,0.40910825538608175,0.3086931695284158
C2_aux_recovery_MPC,load_disturbance,19030,7,0.25744810797804957,0.25421125639605535,0.7381179412684041,0.732870078606861,0.40910825538608175,0.3086931695284158
C1_sensor_MPC,parameter_variation,19027,1,0.27572437639842917,0.27572437639842917,10.919665032194239,10.919665032194239,0.6866875642852079,0.6866875642852079
C2_aux_recovery_MPC,parameter_variation,19027,1,0.27572437639842917,0.27572437639842917,10.919665032194239,10.919665032194239,0.6866875642852079,0.6866875642852079
C1_sensor_MPC,parameter_variation,19029,164,4.706072559272559,4.307488201031434,9.64568133425024,9.459336379577511,0.2556331205561425,0.20274143736365757
