scenario,seed,start_step,end_step,start_time_s,end_time_s,duration_s,attribution_state,candidate_state,d_sm,d_sa,d_ma,filtered_d_sm,filtered_d_sa,filtered_d_ma,c3_requested_entry,c3_candidate_samples,c4_suppressed_entry,suppressed_candidate_samples,auxiliary_trusted_fraction,auxiliary_trust_reason,selected_source,selected_source_code,attribution_ms_mean
load_disturbance,19026,394,398,3.94,3.98,0.05,AMBIGUOUS,NORMAL,0.18152270093293765,0.9268052914689975,0.8087525376253282,0.2250965869163471,0.9676060020165187,0.893124603746565,False,0,False,0,1.0,READY,PHYSICAL,0,0.047679999988758937
load_disturbance,19026,399,436,3.99,4.36,0.38,NORMAL,NORMAL,0.20560773476479674,0.9370474234359282,0.8643195403331246,0.20902407159107383,0.9577682388877019,0.878421553667601,False,0,False,0,1.0,READY,PHYSICAL,0,0.05472368406787466
load_disturbance,19026,437,472,4.37,4.72,0.36,AMBIGUOUS,NORMAL,0.2643326215461836,0.8886360526124708,0.7883435792337123,0.2468465195617731,0.9226025217576262,0.8373657820265415,False,0,False,0,1.0,READY,PHYSICAL,0,0.05046111138856051
load_disturbance,19026,473,509,4.73,5.09,0.37,NORMAL,NORMAL,0.21679424560062904,0.97334898480011,0.9114885376013907,0.21489654551559215,0.9532063705181768,0.8717471917234962,False,0,False,0,1.0,READY,PHYSICAL,0,0.060559459401505394
load_disturbance,19026,510,520,5.1000000000000005,5.2,0.11,AMBIGUOUS,NORMAL,0.2889441530729135,1.1217179875053225,0.9141095177826647,0.2613479529457151,0.9390014375208431,0.839317497899259,False,0,False,0,1.0,READY,PHYSICAL,0,0.07498181813306556
load_disturbance,19026,521,575,5.21,5.75,0.55,NORMAL,NORMAL,0.2769462802851773,0.9034974501822497,0.8279160409575556,0.272285741623082,0.9301306033035458,0.8498779774646427,False,0,False,0,1.0,READY,PHYSICAL,0,0.06763272719002668
load_disturbance,19026,576,582,5.76,5.82,0.07,AMBIGUOUS,NORMAL,0.293350840435436,0.9768749319683921,0.8426671511507889,0.2800352171213673,0.9196010291000303,0.8217476056186582,False,0,False,0,1.0,READY,PHYSICAL,0,0.06417142867576331
load_disturbance,19026,583,600,5.83,6.0,0.18,NORMAL,NORMAL,0.2046556776570792,1.1451510588375322,1.0771724935128784,0.23837262580544674,1.0229786898446749,0.9495832252328259,False,0,False,0,1.0,READY,PHYSICAL,0,0.06907222208004289
load_disturbance,19027,20,159,0.2,1.59,1.4000000000000001,AMBIGUOUS,AMBIGUOUS,0.22102339381544375,3.371098208572048,3.37310745294932,0.09498203823510282,1.376905619659116,1.3395803337673218,False,0,False,0,0.07142857142857142,STARTUP_BLANKING,PHYSICAL,0,0.03277999990781869
load_disturbance,19027,160,227,1.6,2.27,0.68,NORMAL,NORMAL,0.26484497881645835,0.8719806757865067,0.8560770457812932,0.22219143517876624,1.0009319606530052,0.9853645261115989,False,0,False,0,1.0,READY,PHYSICAL,0,0.06107205886377522
load_disturbance,19027,228,242,2.2800000000000002,2.42,0.15,AMBIGUOUS,NORMAL,0.2109292301399743,0.3007604161544961,0.33693056086143874,0.26121577500669957,0.58847455104157,0.5650595094313658,False,0,False,0,1.0,READY,PHYSICAL,0,0.052180000056978315
load_disturbance,19027,243,275,2.43,2.75,0.33,NORMAL,NORMAL,0.22108735287557318,0.4415131342000298,0.4383017062226384,0.22268364834645613,0.4401081088263854,0.4411976748358726,False,0,False,0,1.0,READY,PHYSICAL,0,0.06550303034159835
load_disturbance,19027,276,285,2.7600000000000002,2.85,0.1,AMBIGUOUS,NORMAL,0.28750539691985466,0.6043514089040031,0.6111530755974754,0.25374635923605265,0.5053184326906791,0.5085304330317866,False,0,False,0,1.0,READY,PHYSICAL,0,0.07807999973010737
