main_virtual_rmse,main_virtual_mae,corrupted_rmse,corrupted_mae,sub_count,scenario,run_id,version,aux_rmse,aux_mae
2.062734001249974,1.5818372492070918,4.388581451049137,2.113710884566788,1001,sensor_bias_15,25,V2,1.1157497054510572,0.9572145231477507
5.119140586963101,4.1663978416602925,4.38601004254908,2.1147502076018463,1001,sensor_bias_15,28,V1,,
5.119140586963101,4.1663978416602925,4.38601004254908,2.1147502076018463,1001,sensor_bias_15,28,V2,3.4418086323642663,2.8056346748496863
7.787570868421112,7.105571117233975,9.30716688758698,4.23182573569204,1027,sensor_dropout,8,V1,,
7.787570868421112,7.105571117233975,9.30716688758698,4.23182573569204,1027,sensor_dropout,8,V2,6.029293041497073,5.215075076845164
5.0720565507056845,4.333681426681839,19.23041950789722,8.716509960033557,1001,sensor_dropout,15,V1,,
5.0720565507056845,4.333681426681839,19.23041950789722,8.716509960033557,1001,sensor_dropout,15,V2,1.141099993453165,0.9042880890014526
9.527467405977605,8.022211831290047,19.88209679444085,9.008439159298039,1001,sensor_dropout,17,V1,,
9.527467405977605,8.022211831290047,19.88209679444085,9.008439159298039,1001,sensor_dropout,17,V2,3.8403936939747125,3.442236415394298
5.3778026093828135,3.8680855200295814,13.083875778007156,5.367488478682766,1103,sensor_dropout,22,V1,,
5.3778026093828135,3.8680855200295814,13.083875778007156,5.367488478682766,1103,sensor_dropout,22,V2,2.8865810261258047,2.3010882688002323
2.062734001249974,1.5818372492070918,13.293986285300424,5.764660089285105,1001,sensor_dropout,25,V1,,
2.062734001249974,1.5818372492070918,13.293986285300424,5.764660089285105,1001,sensor_dropout,25,V2,1.1157497054510572,0.9572145231477507
5.119140586963101,4.1663978416602925,14.957244330651081,6.6407475847821615,1001,sensor_dropout,28,V1,,
5.119140586963101,4.1663978416602925,14.957244330651081,6.6407475847821615,1001,sensor_dropout,28,V2,3.4418086323642663,2.8056346748496863
7.787570868421112,7.105571117233975,0.8676760693242582,0.7354892750324966,1027,sensor_drift,8,V1,,
7.787570868421112,7.105571117233975,0.8676760693242582,0.7354892750324966,1027,sensor_drift,8,V2,6.029293041497073,5.215075076845164
1.0657602295054451,1.0545409520467122,0.9892715579070684,0.9360746485392255,6,sensor_drift,15,V1,,
1.0657602295054451,1.0545409520467122,0.9892715579070684,0.9360746485392255,6,sensor_drift,15,V2,0.038317797672112366,0.032081921895345054
1.4289279191610618,1.4253463745117188,0.363055732372413,0.34294688924153505,3,sensor_drift,17,V1,,
1.4289279191610618,1.4253463745117188,0.363055732372413,0.34294688924153505,3,sensor_drift,17,V2,5.489871607945864,5.128225962320964
5.3778026093828135,3.8680855200295814,0.8445000279435337,0.7043390447928325,1103,sensor_drift,22,V1,,
5.3778026093828135,3.8680855200295814,0.8445000279435337,0.7043390447928325,1103,sensor_drift,22,V2,2.8865810261258047,2.3010882688002323
1.0763610482002604,1.072750409444173,1.2362961144198599,1.1941240514119453,6,sensor_drift,25,V1,,
1.0763610482002604,1.072750409444173,1.2362961144198599,1.1941240514119453,6,sensor_drift,25,V2,2.0158510538488996,2.0150734583536782
0.27625274658203125,0.27625274658203125,1.2607539215087904,1.2607539215087904,1,sensor_drift,28,V1,,
0.27625274658203125,0.27625274658203125,1.2607539215087904,1.2607539215087904,1,sensor_drift,28,V2,5.927919387817383,5.927919387817383
10.28724794434777,9.155131906227817,0.25055679049036667,0.19905527332161047,1027,load_disturbance,8,V1,,
10.28724794434777,9.155131906227817,0.25055679049036667,0.19905527332161047,1027,load_disturbance,8,V2,5.018127605278901,4.248583200915603
15.69898971020749,15.007340590753493,0.25972467190688786,0.20755929732590578,890,load_disturbance,15,V1,,
15.69898971020749,15.007340590753493,0.25972467190688786,0.20755929732590578,890,load_disturbance,15,V2,1.8664001424268983,1.6025054896399835
19.290757459837337,18.50101836972089,0.24911015965453184,0.19681334254717586,891,load_disturbance,17,V1,,
19.290757459837337,18.50101836972089,0.24911015965453184,0.19681334254717586,891,load_disturbance,17,V2,4.4057655736149774,4.0876401433518375
14.862572776800842,13.740227438369741,0.2509358487099453,0.19890964817819765,1103,load_disturbance,22,V1,,
14.862572776800842,13.740227438369741,0.2509358487099453,0.19890964817819765,1103,load_disturbance,22,V2,4.702993730986188,4.212522861993305
0.14541496545953805,0.12107856575278812,0.8630923401689089,0.8555285135904948,3,load_disturbance,25,V1,,
0.14541496545953805,0.12107856575278812,0.8630923401689089,0.8555285135904948,3,load_disturbance,25,V2,1.4154063899189506,1.2821720728383201
0.28356267756511666,0.27047888810075627,0.7163088088581839,0.7150964736938477,2,load_disturbance,28,V1,,
0.28356267756511666,0.27047888810075627,0.7163088088581839,0.7150964736938477,2,load_disturbance,28,V2,6.080089498952612,5.5340630005984135
10.356295507407557,7.083482514875907,0.25055679049036667,0.19905527332161047,1027,parameter_variation,8,V1,,
10.356295507407557,7.083482514875907,0.25055679049036667,0.19905527332161047,1027,parameter_variation,8,V2,7.638652181661221,6.356468494009945
13.079497474077975,11.69549032966635,0.2545550339903242,0.2060705576187525,312,parameter_variation,15,V1,,
13.079497474077975,11.69549032966635,0.2545550339903242,0.2060705576187525,312,parameter_variation,15,V2,13.352209705726063,12.652242507662864
19.034526382645986,15.873106991020878,0.24943307865180345,0.19694834522320756,883,parameter_variation,17,V1,,
19.034526382645986,15.873106991020878,0.24943307865180345,0.19694834522320756,883,parameter_variation,17,V2,12.945109637809711,11.655604832467308
10.283896738143433,9.023320903024267,0.2509358487099453,0.19890964817819765,1103,parameter_variation,22,V1,,
