scenario,controller,overall_rmse_mean,overall_rmse_std,overall_rmse_median,overall_mae_mean,overall_mae_std,overall_mae_median,fault_window_rmse_mean,fault_window_rmse_std,fault_window_rmse_median,sub_fraction_mean,sub_fraction_std,sub_fraction_median,reliability_entries_mean,reliability_entries_std,reliability_entries_median,switches_mean,switches_std,switches_median,frac_phys_mean,frac_phys_std,frac_phys_median,frac_main_mean,frac_main_std,frac_main_median,frac_aux_mean,frac_aux_std,frac_aux_median,frac_fb_mean,frac_fb_std,frac_fb_median,control_effort_u2_mean,control_effort_u2_std,control_effort_u2_median,control_variation_du2_mean,control_variation_du2_std,control_variation_du2_median,optimizer_failures_mean,optimizer_failures_std,optimizer_failures_median,voltage_violations_mean,voltage_violations_std,voltage_violations_median,rate_violations_mean,rate_violations_std,rate_violations_median,nonfinite_events_mean,nonfinite_events_std,nonfinite_events_median,false_sensor_fault_entries_mean,false_sensor_fault_entries_std,false_sensor_fault_entries_median,suppressed_entry_count_mean,suppressed_entry_count_std,suppressed_entry_count_median,suppressed_false_entries_mean,suppressed_false_entries_std,suppressed_false_entries_median,genuine_sensor_fault_entries_permitted_mean,genuine_sensor_fault_entries_permitted_std,genuine_sensor_fault_entries_permitted_median,genuine_sensor_fault_entries_suppressed_mean,genuine_sensor_fault_entries_suppressed_std,genuine_sensor_fault_entries_suppressed_median,auxiliary_misuse_events_mean,auxiliary_misuse_events_std,auxiliary_misuse_events_median,aux_witness_ready_fraction_mean,aux_witness_ready_fraction_std,aux_witness_ready_fraction_median,untrusted_aux_fraction_mean,untrusted_aux_fraction_std,untrusted_aux_fraction_median,attribution_switches_mean,attribution_switches_std,attribution_switches_median,mean_attribution_dwell_s_mean,mean_attribution_dwell_s_std,mean_attribution_dwell_s_median,mean_attribution_ms_mean,mean_attribution_ms_std,mean_attribution_ms_median,median_attribution_ms_mean,median_attribution_ms_std,median_attribution_ms_median,p95_attribution_ms_mean,p95_attribution_ms_std,p95_attribution_ms_median,p99_attribution_ms_mean,p99_attribution_ms_std,p99_attribution_ms_median,attr_frac_normal_mean,attr_frac_normal_std,attr_frac_normal_median,attr_frac_likely_sensor_fault_mean,attr_frac_likely_sensor_fault_std,attr_frac_likely_sensor_fault_median,attr_frac_likely_plant_or_main_mismatch_mean,attr_frac_likely_plant_or_main_mismatch_std,attr_frac_likely_plant_or_main_mismatch_median,attr_frac_likely_aux_mismatch_mean,attr_frac_likely_aux_mismatch_std,attr_frac_likely_aux_mismatch_median,attr_frac_ambiguous_mean,attr_frac_ambiguous_std,attr_frac_ambiguous_median
parameter_variation,C3_arbitration_MPC,10.857643249783537,0.07163530707913393,10.832083365823463,4.965143892589467,0.3382113357923185,4.8377715358087325,1.070064068348088,0.8907859709410539,0.6764296526678861,0.1271214642262895,0.17609229584004368,0.0016638935108153079,0.4,0.5477225575051661,0.0,1.2,1.3038404810405297,1.0,0.8728785357737104,0.17609229584004368,0.9983361064891847,0.0,0.0,0.0,0.0,0.0,0.0,0.1271214642262895,0.17609229584004368,0.0016638935108153079,7763.415253855875,400.2277238772341,7848.0377237884,132.32001336466465,14.586938144802822,128.63246017446897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_variation,C4_attribution_MPC,10.857643249783537,0.07163530707913393,10.832083365823463,4.965143892589467,0.3382113357923185,4.8377715358087325,1.070064068348088,0.8907859709410539,0.6764296526678861,0.1271214642262895,0.17609229584004368,0.0016638935108153079,0.4,0.5477225575051661,0.0,1.2,1.3038404810405297,1.0,0.8728785357737104,0.17609229584004368,0.9983361064891847,0.0,0.0,0.0,0.0,0.0,0.0,0.1271214642262895,0.17609229584004368,0.0016638935108153079,7763.415253855875,400.2277238772341,7848.0377237884,132.32001336466465,14.586938144802822,128.63246017446897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3132530120481928,0.010036061781145118,0.31153184165232356,0.6867469879518072,0.010036061781145049,0.6884681583476764,6.8,1.7888543819998317,8.0,0.7857333333333335,0.2249919833962815,0.6455555555555557,0.04359862306921181,0.0019417621256658454,0.0434163511477412,0.03868000057991594,0.0011627556136551297,0.038500000300700776,0.07530000075348653,0.0064007815021370155,0.07370000093942508,0.09600000026694047,0.009782617803504647,0.09118000052694747,0.2192771084337349,0.03007372815935065,0.22375215146299485,0.0,0.0,0.0,0.0,0.0,0.0,0.0020654044750430295,0.004618384807228482,0.0,0.7786574870912221,0.030803661119691097,0.76592082616179
sensor_bias_15,B_plain_MPC,11.905182359736417,0.03158731928405565,11.891258922550461,7.451042532460741,0.05797418772563816,7.438450844078241,7.771003656803987,0.20822789415374438,7.680214944038779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6671.496660515681,139.071773460846,6703.480794752023,218.5469967093739,7.098572689342168,220.96083254459415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_bias_15,C3_arbitration_MPC,10.819733035600333,0.00828716866207916,10.823953918237274,4.667229868738641,0.06911456398369525,4.652657410401222,0.3915485433658523,0.08408350011281336,0.3562284088353198,0.6672212978369384,0.0,0.6672212978369384,1.0,0.0,1.0,1.0,0.0,1.0,0.33277870216306155,0.0,0.33277870216306155,0.6672212978369384,0.0,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,6187.846538184581,99.71921778961196,6233.905352072406,96.48010863248415,14.903163191021022,99.93567711521887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_bias_15,C4_attribution_MPC,10.819733035600333,0.00828716866207916,10.823953918237274,4.667229868738641,0.06911456398369525,4.652657410401222,0.3915485433658523,0.08408350011281336,0.3562284088353198,0.6672212978369384,0.0,0.6672212978369384,1.0,0.0,1.0,1.0,0.0,1.0,0.33277870216306155,0.0,0.33277870216306155,0.6672212978369384,0.0,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,6187.846538184581,99.71921778961196,6233.905352072406,96.48010863248415,14.903163191021022,99.93567711521887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09122203098106713,0.0,0.09122203098106713,0.9087779690189329,0.0,0.9087779690189329,3.8,1.0954451150103321,3.0,1.2588333333333335,0.265189004925418,1.4525000000000001,0.03623345956415108,0.0007644069047234144,0.03629741827282985,0.03363999931025319,0.001176011092477485,0.033499998608022,0.06415999960154295,0.003233109559831074,0.0624999993306119,0.08522399984940428,0.013693205855625739,0.08055999969656115,0.07091222030981068,0.010844739416195088,0.07228915662650602,0.0017211703958691913,0.0,0.0017211703958691911,0.0,0.0,0.0,0.0,0.0,0.0,0.9273666092943202,0.010844739416195067,0.9259896729776248
sensor_dropout,B_plain_MPC,27.524915049490772,0.18238876500303663,27.612124384428004,23.315078746834068,0.25469073920393825,23.419350228299812,20.87480962755925,0.44217228984224655,21.081824373543995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15050.587908257043,125.43342159707885,15110.298601033952,74.03093322446159,4.257848611986272,72.37000693840349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_dropout,C3_arbitration_MPC,10.819733035600333,0.00828716866207916,10.823953918237274,4.667229868738641,0.06911456398369525,4.652657410401222,0.3915485433658523,0.08408350011281336,0.3562284088353198,0.6672212978369384,0.0,0.6672212978369384,1.0,0.0,1.0,1.0,0.0,1.0,0.33277870216306155,0.0,0.33277870216306155,0.6672212978369384,0.0,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,6187.846538184581,99.71921778961196,6233.905352072406,96.48010863248415,14.903163191021022,99.93567711521887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_dropout,C4_attribution_MPC,10.819733035600333,0.00828716866207916,10.823953918237274,4.667229868738641,0.06911456398369525,4.652657410401222,0.3915485433658523,0.08408350011281336,0.3562284088353198,0.6672212978369384,0.0,0.6672212978369384,1.0,0.0,1.0,1.0,0.0,1.0,0.33277870216306155,0.0,0.33277870216306155,0.6672212978369384,0.0,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,6187.846538184581,99.71921778961196,6233.905352072406,96.48010863248415,14.903163191021022,99.93567711521887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09122203098106713,0.0,0.09122203098106713,0.9087779690189329,0.0,0.9087779690189329,3.8,1.0954451150103321,3.0,1.2588333333333335,0.265189004925418,1.4525000000000001,0.03811965578219857,0.0019215699376588296,0.03818278831653493,0.035740000021178275,0.001333416013233216,0.03599999945436139,0.06484000041382387,0.0035493664591740724,0.06380000013450626,0.0850520002131817,0.010804958009598528,0.08611999874119654,0.07091222030981068,0.010844739416195088,0.07228915662650602,0.0017211703958691913,0.0,0.0017211703958691911,0.0,0.0,0.0,0.0,0.0,0.0,0.9273666092943202,0.010844739416195067,0.9259896729776248
step_reference,B_plain_MPC,7.085687519392363,0.05617368509310503,7.060832797039289,3.7940511853795975,0.061237802347449355,3.7905917505292215,7.085687519392363,0.05617368509310503,7.060832797039289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7171.847821474218,76.39847968509767,7189.115164260859,162.23025753668574,7.4701431654129244,162.92859752199348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step_reference,C3_arbitration_MPC,7.089881043707408,0.053944491886718494,7.070064336368759,3.845088623412704,0.08668380301944927,3.8215771305451716,7.089881043707408,0.053944491886718494,7.070064336368759,0.05490848585690515,0.12185109225211088,0.0,0.2,0.4472135954999579,0.0,0.6,0.8944271909999159,0.0,0.9450915141430949,0.1218510922521109,1.0,0.05490848585690515,0.12185109225211088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7152.899567042858,103.74129481069417,7194.747044951408,158.83347450230693,10.67462290003776,162.92859752199348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
