horizon,metric,rolling,scenario,auc_vs_clean_validation,mean_score
5,mae,rms,drift_positive,0.5847996427339421,0.4239114820957184
5,rms,mean,clean,0.5691393424313727,0.3548826277256012
5,rms,mean,load_step,0.7113376080569542,0.3172043561935425
5,rms,mean,parameter_variation,0.5864445763243411,0.29356035590171814
5,rms,mean,voltage_change,0.5158165716813202,0.4410865306854248
5,rms,mean,bias_pos_5,0.7718902360909432,2.473862648010254
5,rms,mean,drift_positive,0.5914383783227635,0.4514947533607483
5,normalized_rms,mean,clean,0.5691393424313727,1.2718091011047363
5,normalized_rms,mean,load_step,0.7113376080569542,1.1367796659469604
5,normalized_rms,mean,parameter_variation,0.5864445763243411,1.0520457029342651
5,normalized_rms,mean,voltage_change,0.5158165716813202,1.5807418823242188
5,normalized_rms,mean,bias_pos_5,0.7718902360909432,8.865694046020508
5,normalized_rms,mean,drift_positive,0.5914383783227635,1.6180423498153687
5,rms,rms,clean,0.5678707909817813,0.3696441054344177
5,rms,rms,load_step,0.7231954404676585,0.33610981702804565
5,rms,rms,parameter_variation,0.5880129188085365,0.3086378276348114
5,rms,rms,voltage_change,0.5119952809625181,0.4554995596408844
5,rms,rms,bias_pos_5,0.7712748407688726,2.494295358657837
5,rms,rms,drift_positive,0.5926049526499314,0.467420369386673
5,normalized_rms,rms,clean,0.5678707909817813,1.2621104717254639
5,normalized_rms,rms,load_step,0.7231954404676585,1.147611141204834
5,normalized_rms,rms,parameter_variation,0.5880129188085365,1.053810954093933
5,normalized_rms,rms,voltage_change,0.5119952809625181,1.555254578590393
5,normalized_rms,rms,bias_pos_5,0.7712748407688726,8.51650619506836
5,normalized_rms,rms,drift_positive,0.5926049526499314,1.5959570407867432
10,mae,mean,clean,0.5620470183597557,0.3400285243988037
10,mae,mean,load_step,0.8484321361665382,0.3446497619152069
10,mae,mean,parameter_variation,0.6407614297069884,0.2938236892223358
10,mae,mean,voltage_change,0.5082622120529088,0.42589086294174194
10,mae,mean,bias_pos_5,0.7692864691556867,2.4536240100860596
10,mae,mean,drift_positive,0.5876134371995189,0.4356013238430023
10,mae,rms,clean,0.558862749242533,0.35301288962364197
10,mae,rms,load_step,0.8504077519473432,0.3658500611782074
10,mae,rms,parameter_variation,0.6442903749673924,0.30983632802963257
10,mae,rms,voltage_change,0.5047186791775734,0.43858978152275085
10,mae,rms,bias_pos_5,0.7686034699231193,2.47128963470459
10,mae,rms,drift_positive,0.5861025094485135,0.4497714340686798
10,rms,mean,clean,0.5661244901416052,0.3928069770336151
10,rms,mean,load_step,0.8452441505143599,0.4048382043838501
10,rms,mean,parameter_variation,0.6429751076702093,0.34848883748054504
10,rms,mean,voltage_change,0.5106649963995518,0.4769199788570404
10,rms,mean,bias_pos_5,0.7726915084576209,2.4940240383148193
10,rms,mean,drift_positive,0.5941321777575149,0.4890202283859253
10,normalized_rms,mean,clean,0.5661244901416052,1.273616075515747
10,normalized_rms,mean,load_step,0.8452441505143599,1.3126256465911865
10,normalized_rms,mean,parameter_variation,0.6429751076702093,1.1299216747283936
10,normalized_rms,mean,voltage_change,0.5106649963995518,1.546339750289917
10,normalized_rms,mean,bias_pos_5,0.7726915084576209,8.086488723754883
10,normalized_rms,mean,drift_positive,0.5941321777575149,1.5855729579925537
10,rms,rms,clean,0.5636366756197251,0.4051036536693573
10,rms,rms,load_step,0.8493004543287518,0.42525628209114075
10,rms,rms,parameter_variation,0.646816828556644,0.3636804223060608
10,rms,rms,voltage_change,0.5078999184277144,0.4890904426574707
10,rms,rms,bias_pos_5,0.7717514653895373,2.510981559753418
10,rms,rms,drift_positive,0.5930530493263777,0.502328634262085
10,normalized_rms,rms,clean,0.563636665508302,1.2700945138931274
10,normalized_rms,rms,load_step,0.8493004543287518,1.333277702331543
10,normalized_rms,rms,parameter_variation,0.646816828556644,1.1402230262756348
10,normalized_rms,rms,voltage_change,0.5078999332224556,1.5334125757217407
10,normalized_rms,rms,bias_pos_5,0.7717514653895373,7.8725128173828125
10,normalized_rms,rms,drift_positive,0.5930530493263777,1.5749174356460571
