population,run_id,sample,time_s,estimator,update_runtime_us
clean_heldout_test,8,107,1.0700000524520874,auxiliary_LSTM,808.2
clean_heldout_test,8,108,1.0800000429153442,EKF,639.7
clean_heldout_test,8,108,1.0800000429153442,auxiliary_LSTM,754.7
clean_heldout_test,8,109,1.090000033378601,EKF,426.7
clean_heldout_test,8,109,1.090000033378601,auxiliary_LSTM,788.2
clean_heldout_test,8,110,1.100000023841858,EKF,1244.8
clean_heldout_test,8,110,1.100000023841858,auxiliary_LSTM,792.6
clean_heldout_test,8,111,1.1100000143051147,EKF,1021.2
clean_heldout_test,8,111,1.1100000143051147,auxiliary_LSTM,768.4
clean_heldout_test,8,112,1.1200000047683716,EKF,467.6
clean_heldout_test,8,112,1.1200000047683716,auxiliary_LSTM,725.0
clean_heldout_test,8,113,1.1299999952316284,EKF,452.4
clean_heldout_test,8,113,1.1299999952316284,auxiliary_LSTM,763.8
clean_heldout_test,8,114,1.1399999856948853,EKF,450.3
clean_heldout_test,8,114,1.1399999856948853,auxiliary_LSTM,755.9
clean_heldout_test,8,115,1.149999976158142,EKF,487.7
clean_heldout_test,8,115,1.149999976158142,auxiliary_LSTM,763.8
clean_heldout_test,8,116,1.159999966621399,EKF,454.8
clean_heldout_test,8,116,1.159999966621399,auxiliary_LSTM,757.1
clean_heldout_test,8,117,1.1699999570846558,EKF,452.8
clean_heldout_test,8,117,1.1699999570846558,auxiliary_LSTM,1153.5
clean_heldout_test,8,118,1.1799999475479126,EKF,460.5
clean_heldout_test,8,118,1.1799999475479126,auxiliary_LSTM,800.0
clean_heldout_test,8,119,1.190000057220459,EKF,503.6
clean_heldout_test,8,119,1.190000057220459,auxiliary_LSTM,944.8
clean_heldout_test,8,120,1.2000000476837158,EKF,487.5
clean_heldout_test,8,120,1.2000000476837158,auxiliary_LSTM,846.8
clean_heldout_test,8,121,1.2100000381469727,EKF,477.6
clean_heldout_test,8,121,1.2100000381469727,auxiliary_LSTM,985.6
clean_heldout_test,8,122,1.2200000286102295,EKF,477.3
clean_heldout_test,8,122,1.2200000286102295,auxiliary_LSTM,963.2
clean_heldout_test,8,123,1.2300000190734863,EKF,500.0
clean_heldout_test,8,123,1.2300000190734863,auxiliary_LSTM,908.8
clean_heldout_test,8,124,1.2400000095367432,EKF,488.6
clean_heldout_test,8,124,1.2400000095367432,auxiliary_LSTM,1039.2
clean_heldout_test,8,125,1.25,EKF,478.3
clean_heldout_test,8,125,1.25,auxiliary_LSTM,892.8
clean_heldout_test,8,126,1.2599999904632568,EKF,475.8
clean_heldout_test,8,126,1.2599999904632568,auxiliary_LSTM,1015.0
clean_heldout_test,8,127,1.2699999809265137,EKF,500.2
clean_heldout_test,8,127,1.2699999809265137,auxiliary_LSTM,1030.2
clean_heldout_test,8,128,1.2799999713897705,EKF,517.7
clean_heldout_test,8,128,1.2799999713897705,auxiliary_LSTM,2426.7
clean_heldout_test,8,129,1.2899999618530273,EKF,479.9
clean_heldout_test,8,129,1.2899999618530273,auxiliary_LSTM,1209.1
clean_heldout_test,8,130,1.2999999523162842,EKF,476.9
