controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples,genuine_sensor_fault_entries,genuine_sensor_fault_entries_permitted,false_sensor_fault_entries,suppressed_entry_count,suppressed_candidate_samples,suppressed_false_entry_count,suppressed_false_entries,genuine_sensor_fault_suppressed,genuine_sensor_fault_entries_suppressed,suppression_episodes,attributor_suppression_episodes,c3_candidate_samples,c3_new_entry_candidate_samples,attribution_switches,mean_attribution_dwell_s,auxiliary_misuse_events,aux_selected_while_witness_unready_samples,aux_witness_ready_fraction,untrusted_aux_fraction,untrusted_aux_candidate_samples,mean_attribution_ms,median_attribution_ms,p95_attribution_ms,p99_attribution_ms,attr_frac_normal,attr_frac_likely_sensor_fault,attr_frac_likely_plant_or_main_mismatch,attr_frac_likely_aux_mismatch,attr_frac_ambiguous,detection_latency_s,detected_event,sensor_fault_detected
C3_arbitration_MPC,combined_fault_load,19029,11.141389215095307,6.228297910138132,3.741968951131834,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07820299500831947,0.4226289517470882,0.0,0.8438538205980066,0.0,8468.463800333548,219.42008617538048,0,0,0,0,0,,0,73.6923619835489,0.394360413106612,0.009486402823297602,0.006792771134147038,0.4106395870640567,73.71948347104043,9.661417100000108,2.209174710420741,1.900324879620797,1.7698905007244763,1.5719882119902993,2.103038705125002,1.806446066280659,3.275965790743784,3.2662698655610485,301,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,0.0,True,True
C4_attribution_MPC,combined_fault_load,19029,11.141389215095307,6.228297910138132,3.741968951131834,,1,,,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07820299500831947,0.4226289517470882,0.0,0.8438538205980066,0.0,8468.463800333548,219.42008617538048,0,0,0,0,0,,0,73.56826115708014,0.37877762474362314,0.006852667812818442,0.006383476765615354,0.4289697073808526,73.59614297506182,9.651294900000721,2.209174710420741,,1.7698905007244763,,2.103038705125002,,3.275965790743784,,301,1.0,1.0,0.0,0,0,0,0,0,0,0,0,301.0,3.0,8.0,0.6455555555555557,0,254.0,0.2633390705679862,0.7366609294320138,298.0,0.0369559380587957,0.03319999996165279,0.06589999975403771,0.08132000039040577,0.22375215146299485,0.0,0.0,0.0,0.7762478485370051,0.0,True,True
B_plain_MPC,combined_fault_load,19030,11.300274701647554,6.711626326509071,4.5986397783052055,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8091.978415974243,178.61860623976503,0,0,0,0,0,,0,81.87480247931286,0.0,0.0,0.0,0.0,81.8953330578424,10.384298400000262,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19030,11.193093648846114,6.3625092127551275,4.041506095528794,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.09816971713810316,0.40266222961730447,0.0,0.8039867109634552,0.0,8808.836009828718,222.79760462481315,0,0,0,0,0,,0,76.83758925611247,0.3881375215438286,0.009097418291723674,0.00661428570116709,0.40384922553671937,76.86509256189701,10.026475199998458,2.183296394205899,1.8178685356561186,1.617526275282042,1.3957853833998202,2.088252726867035,1.7343461674491671,3.2833790165392673,3.2748887864092935,301,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,0.0,True,True
C4_attribution_MPC,combined_fault_load,19030,11.193093648846114,6.3625092127551275,4.041506095528794,,1,,,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.09816971713810316,0.40266222961730447,0.0,0.8039867109634552,0.0,8808.836009828718,222.79760462481315,0,0,0,0,0,,0,70.39309586781944,0.35796006883368525,0.006644234068679909,0.005738554257304823,0.4071401033143548,70.4198371901185,9.21470109999973,2.183296394205899,,1.617526275282042,,2.088252726867035,,3.2833790165392673,,301,1.0,1.0,0.0,0,0,0,0,0,0,0,0,301.0,3.0,4.0,1.1620000000000001,0,242.0,0.2633390705679862,0.7366609294320138,298.0,0.036797246154684854,0.03299999843875412,0.06759999996575061,0.08643999972264284,0.23752151462994836,0.0,0.0,0.0,0.7624784853700516,0.0,True,True
B_plain_MPC,load_disturbance,19026,10.821896466195696,4.814054046789101,0.8617618351924661,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8242.512149647346,136.21666792985883,0,0,0,0,0,,0,95.73469586787776,0.0,0.0,0.0,0.0,95.7565115701779,12.084097199998723,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,load_disturbance,19026,10.821896466195696,4.814054046789101,0.8617618351924661,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8242.512149647346,136.21666792985883,0,0,0,0,0,,0,98.10512727262378,0.42434320136843706,0.009887263330055093,0.006682271914119414,0.44091273661261154,98.12759752065718,12.681843500000468,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C4_attribution_MPC,load_disturbance,19026,10.821896466195696,4.814054046789101,0.8617618351924661,,0,,,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8242.512149647346,136.21666792985883,0,0,0,0,0,,0,96.30350495875567,0.40682409637153394,0.007239931082620892,0.005529776216980925,0.47489724601261785,96.32933801659111,12.465234100000089,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0.32277777777777783,0,0.0,0.7762478485370051,0.22375215146299485,0.0,0.055303442341482094,0.05300000157149043,0.09370000043418258,0.11283999992883784,0.5903614457831325,0.0,0.0,0.0,0.40963855421686746,,,
B_plain_MPC,load_disturbance,19027,10.832891568331272,4.922819896678775,0.9547664184817594,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8470.968099520685,156.28109884301384,0,0,0,0,0,,0,91.79508016533256,0.0,0.0,0.0,0.0,91.81656528930907,11.607676499999798,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,load_disturbance,19027,10.83262460435799,4.919131080167157,0.9486992700295822,,1,1.0,1.0,0.07,0.011647254575707155,4,1.2,0.9883527454242929,0.011647254575707155,0.0,0.0,0.0,0.0,8472.430549890241,157.71644996352845,0,0,0,0,0,,0,99.29209669423494,0.4091185885558429,0.009773838204521447,0.006237349444712759,0.4251297762050771,99.31419669426624,12.79951500000061,0.24610921529167326,0.24455369746079875,1.1148380579717112,1.088055962077804,0.24610921529167326,0.24455369746079875,0.38277057894771727,0.33029605353927344,7,0.0,0.0,1.0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
