scenario,controller,overall_rmse_mean,overall_rmse_std,overall_rmse_median,overall_mae_mean,overall_mae_std,overall_mae_median,fault_window_rmse_mean,fault_window_rmse_std,fault_window_rmse_median,sub_fraction_mean,sub_fraction_std,sub_fraction_median,reliability_entries_mean,reliability_entries_std,reliability_entries_median,switches_mean,switches_std,switches_median,frac_phys_mean,frac_phys_std,frac_phys_median,frac_main_mean,frac_main_std,frac_main_median,frac_aux_mean,frac_aux_std,frac_aux_median,frac_fb_mean,frac_fb_std,frac_fb_median,control_effort_u2_mean,control_effort_u2_std,control_effort_u2_median,event_frac_aux_mean,event_frac_aux_std,event_frac_aux_median,event_frac_fb_mean,event_frac_fb_std,event_frac_fb_median,optimizer_failures_mean,optimizer_failures_std,optimizer_failures_median,voltage_violations_mean,voltage_violations_std,voltage_violations_median,rate_violations_mean,rate_violations_std,rate_violations_median,main_prediction_failures_mean,main_prediction_failures_std,main_prediction_failures_median,aux_prediction_failures_mean,aux_prediction_failures_std,aux_prediction_failures_median,nonfinite_events_mean,nonfinite_events_std,nonfinite_events_median
load_disturbance,A_PI,11.286288227610957,0.008942812131837945,11.28803528954698,6.447461860631819,0.014004311754835269,6.445601427745134,2.902954251473733,0.021125010232306732,2.9157025498567384,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8158.872631939463,7.930594815921263,8155.388408975068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_disturbance,B_plain_MPC,10.827812405999651,0.004731937733128069,10.829532522232748,4.872642921127225,0.02822374859403002,4.870561992476061,0.9371265118327322,0.04415416999027533,0.9365615794985473,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8416.016709393274,58.31314191505991,8446.400220256784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_disturbance,C1_sensor_MPC,12.028014386806333,1.1389743476507295,12.319366610145424,7.127027594123275,2.116668071777311,7.796895900180414,6.207953258116063,4.897064259315602,8.368607754410313,0.2718801996672213,0.2498019015749913,0.3876871880199667,,,,2.2,1.6431676725154984,2.0,0.7281198003327787,0.2498019015749913,0.6123128119800333,0.2718801996672213,0.2498019015749913,0.3876871880199667,0.0,0.0,0.0,0.0,0.0,0.0,7332.897509679198,987.4469365374161,6760.355756625776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_disturbance,C2_aux_recovery_MPC,12.028014386806333,1.1389743476507295,12.319366610145424,7.127027594123275,2.116668071777311,7.796895900180414,6.207953258116063,4.897064259315602,8.368607754410313,0.2718801996672213,0.2498019015749913,0.3876871880199667,,,,2.2,1.6431676725154984,2.0,0.7281198003327787,0.2498019015749913,0.6123128119800333,0.2718801996672213,0.2498019015749913,0.3876871880199667,0.0,0.0,0.0,0.0,0.0,0.0,7332.897509679198,987.4469365374161,6760.355756625776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_disturbance,C3_arbitration_MPC,10.99614065378301,0.16112280853665414,11.029264226877475,5.554346139906576,0.640714967974704,5.73798624959186,2.538713813212633,1.5044894747672077,3.1447449295648213,0.2718801996672213,0.2498019015749913,0.3876871880199667,0.6,0.5477225575051661,1.0,2.8,1.7888543819998317,2.0,0.7281198003327787,0.2498019015749913,0.6123128119800333,0.07254575707154742,0.06499415971205055,0.10981697171381032,0.19933444259567387,0.18498949252498156,0.2778702163061564,0.0,0.0,0.0,8519.466731733244,267.00880555166606,8436.275693862757,0.39800664451827245,0.36936440201831866,0.5548172757475083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal_tracking,A_PI,11.127075571357338,0.007733678022930305,11.127232220660815,5.748971264988915,0.028792388987371877,5.742094843766381,11.127075571357338,0.007733678022930305,11.127232220660815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5976.052893179402,7.388902129697917,5972.67323947398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal_tracking,B_plain_MPC,10.807823059052236,0.0037034554087052554,10.807598174303612,4.486692339450537,0.02263053021899085,4.495861899444797,10.807823059052236,0.0037034554087052554,10.807598174303612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6209.7562709113645,34.63097180051107,6218.490485971726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal_tracking,C1_sensor_MPC,10.807836490024883,0.0036982802189156256,10.807598174303612,4.48726409700249,0.02255845135106908,4.495904093360168,10.807836490024883,0.0036982802189156256,10.807598174303612,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,1.2,1.0954451150103321,2.0,0.9990016638935109,0.0009113520091600145,0.9983361064891847,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,6210.675196246026,33.551037371417756,6219.407778950696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal_tracking,C2_aux_recovery_MPC,10.807836490024883,0.0036982802189156256,10.807598174303612,4.48726409700249,0.02255845135106908,4.495904093360168,10.807836490024883,0.0036982802189156256,10.807598174303612,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,1.2,1.0954451150103321,2.0,0.9990016638935109,0.0009113520091600145,0.9983361064891847,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,6210.675196246026,33.551037371417756,6219.407778950696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal_tracking,C3_arbitration_MPC,10.807836490024883,0.0036982802189156256,10.807598174303612,4.48726409700249,0.02255845135106908,4.495904093360168,10.807836490024883,0.0036982802189156256,10.807598174303612,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,1.2,1.0954451150103321,2.0,0.9990016638935109,0.0009113520091600145,0.9983361064891847,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,6210.675196246026,33.551037371417756,6219.407778950696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parameter_variation,A_PI,11.196702554069637,0.009906259948330162,11.197415003378882,6.170335570145335,0.015618711149790966,6.175187850150201,2.099014981170693,0.007851115361773391,2.099437540762431,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7813.4229478923835,4.704583379756423,7814.824626999681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parameter_variation,B_plain_MPC,10.817817102498593,0.003728224359090098,10.818510640976992,4.764704213593384,0.022120198951061393,4.76462294251668,0.6688453316521749,0.022573310651502216,0.6643292042086256,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7792.530999798788,36.80729104319662,7802.430090431019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
