scenario,step,raw_y_measured,y_true,y_hat,residual,positive_cusum,negative_cusum,active_fault_state,healthy_run,substitution_flag,physical_sensor_fault
persistent_constant_bias,83,3.0,0.0,0.0,3.0,226.65344262631288,0.0,True,0,True,True
persistent_constant_bias,84,3.0,0.0,0.0,3.0,229.5224735456333,0.0,True,0,True,True
persistent_constant_bias,85,3.0,0.0,0.0,3.0,232.3915044649537,0.0,True,0,True,True
persistent_constant_bias,86,3.0,0.0,0.0,3.0,235.2605353842741,0.0,True,0,True,True
persistent_constant_bias,87,3.0,0.0,0.0,3.0,238.12956630359452,0.0,True,0,True,True
persistent_constant_bias,88,3.0,0.0,0.0,3.0,240.99859722291492,0.0,True,0,True,True
persistent_constant_bias,89,3.0,0.0,0.0,3.0,243.86762814223533,0.0,True,0,True,True
persistent_constant_bias,90,3.0,0.0,0.0,3.0,246.73665906155574,0.0,True,0,True,True
persistent_constant_bias,91,3.0,0.0,0.0,3.0,249.60568998087615,0.0,True,0,True,True
persistent_constant_bias,92,3.0,0.0,0.0,3.0,252.47472090019656,0.0,True,0,True,True
persistent_constant_bias,93,3.0,0.0,0.0,3.0,255.34375181951697,0.0,True,0,True,True
persistent_constant_bias,94,3.0,0.0,0.0,3.0,258.2127827388374,0.0,True,0,True,True
persistent_constant_bias,95,3.0,0.0,0.0,3.0,261.08181365815784,0.0,True,0,True,True
persistent_constant_bias,96,3.0,0.0,0.0,3.0,263.9508445774783,0.0,True,0,True,True
persistent_constant_bias,97,3.0,0.0,0.0,3.0,266.8198754967987,0.0,True,0,True,True
persistent_constant_bias,98,3.0,0.0,0.0,3.0,269.68890641611915,0.0,True,0,True,True
persistent_constant_bias,99,3.0,0.0,0.0,3.0,272.5579373354396,0.0,True,0,True,True
persistent_constant_bias,100,3.0,0.0,0.0,3.0,275.42696825476,0.0,True,0,True,True
persistent_constant_bias,101,3.0,0.0,0.0,3.0,278.29599917408046,0.0,True,0,True,True
persistent_constant_bias,102,3.0,0.0,0.0,3.0,281.1650300934009,0.0,True,0,True,True
persistent_constant_bias,103,3.0,0.0,0.0,3.0,284.03406101272134,0.0,True,0,True,True
persistent_constant_bias,104,3.0,0.0,0.0,3.0,286.9030919320418,0.0,True,0,True,True
persistent_constant_bias,105,3.0,0.0,0.0,3.0,289.7721228513622,0.0,True,0,True,True
persistent_constant_bias,106,3.0,0.0,0.0,3.0,292.64115377068265,0.0,True,0,True,True
persistent_constant_bias,107,3.0,0.0,0.0,3.0,295.5101846900031,0.0,True,0,True,True
persistent_constant_bias,108,3.0,0.0,0.0,3.0,298.3792156093235,0.0,True,0,True,True
persistent_constant_bias,109,3.0,0.0,0.0,3.0,301.24824652864396,0.0,True,0,True,True
persistent_constant_bias,110,3.0,0.0,0.0,3.0,304.1172774479644,0.0,True,0,True,True
persistent_constant_bias,111,3.0,0.0,0.0,3.0,306.98630836728483,0.0,True,0,True,True
persistent_constant_bias,112,3.0,0.0,0.0,3.0,309.8553392866053,0.0,True,0,True,True
persistent_constant_bias,113,3.0,0.0,0.0,3.0,312.7243702059257,0.0,True,0,True,True
persistent_constant_bias,114,3.0,0.0,0.0,3.0,315.59340112524615,0.0,True,0,True,True
persistent_constant_bias,115,3.0,0.0,0.0,3.0,318.4624320445666,0.0,True,0,True,True
persistent_constant_bias,116,3.0,0.0,0.0,3.0,321.331462963887,0.0,True,0,True,True
persistent_constant_bias,117,3.0,0.0,0.0,3.0,324.20049388320746,0.0,True,0,True,True
persistent_constant_bias,118,3.0,0.0,0.0,3.0,327.0695248025279,0.0,True,0,True,True
persistent_constant_bias,119,3.0,0.0,0.0,3.0,329.93855572184833,0.0,True,0,True,True
persistent_constant_bias,120,3.0,0.0,0.0,3.0,332.80758664116877,0.0,True,0,True,True
persistent_constant_bias,121,3.0,0.0,0.0,3.0,335.6766175604892,0.0,True,0,True,True
persistent_constant_bias,122,3.0,0.0,0.0,3.0,338.54564847980964,0.0,True,0,True,True
persistent_constant_bias,123,3.0,0.0,0.0,3.0,341.4146793991301,0.0,True,0,True,True
persistent_constant_bias,124,3.0,0.0,0.0,3.0,344.2837103184505,0.0,True,0,True,True
persistent_constant_bias,125,3.0,0.0,0.0,3.0,347.15274123777095,0.0,True,0,True,True
persistent_constant_bias,126,3.0,0.0,0.0,3.0,350.0217721570914,0.0,True,0,True,True
persistent_constant_bias,127,3.0,0.0,0.0,3.0,352.8908030764118,0.0,True,0,True,True
persistent_constant_bias,128,3.0,0.0,0.0,3.0,355.75983399573227,0.0,True,0,True,True
persistent_constant_bias,129,3.0,0.0,0.0,3.0,358.6288649150527,0.0,True,0,True,True
persistent_constant_bias,130,3.0,0.0,0.0,3.0,361.49789583437314,0.0,True,0,True,True
persistent_constant_bias,131,3.0,0.0,0.0,3.0,364.3669267536936,0.0,True,0,True,True
persistent_constant_bias,132,3.0,0.0,0.0,3.0,367.235957673014,0.0,True,0,True,True
persistent_constant_bias,133,3.0,0.0,0.0,3.0,370.10498859233445,0.0,True,0,True,True
persistent_constant_bias,134,3.0,0.0,0.0,3.0,372.9740195116549,0.0,True,0,True,True
persistent_constant_bias,135,3.0,0.0,0.0,3.0,375.8430504309753,0.0,True,0,True,True
persistent_constant_bias,136,3.0,0.0,0.0,3.0,378.71208135029576,0.0,True,0,True,True
persistent_constant_bias,137,3.0,0.0,0.0,3.0,381.5811122696162,0.0,True,0,True,True
persistent_constant_bias,138,3.0,0.0,0.0,3.0,384.45014318893664,0.0,True,0,True,True
persistent_constant_bias,139,3.0,0.0,0.0,3.0,387.3191741082571,0.0,True,0,True,True
persistent_constant_bias,140,3.0,0.0,0.0,3.0,390.1882050275775,0.0,True,0,True,True
persistent_constant_bias,141,3.0,0.0,0.0,3.0,393.05723594689795,0.0,True,0,True,True
persistent_constant_bias,142,3.0,0.0,0.0,3.0,395.9262668662184,0.0,True,0,True,True
persistent_constant_bias,143,3.0,0.0,0.0,3.0,398.7952977855388,0.0,True,0,True,True
persistent_constant_bias,144,3.0,0.0,0.0,3.0,401.66432870485926,0.0,True,0,True,True
persistent_constant_bias,145,3.0,0.0,0.0,3.0,404.5333596241797,0.0,True,0,True,True
persistent_constant_bias,146,3.0,0.0,0.0,3.0,407.40239054350013,0.0,True,0,True,True
persistent_constant_bias,147,3.0,0.0,0.0,3.0,410.27142146282057,0.0,True,0,True,True
persistent_constant_bias,148,3.0,0.0,0.0,3.0,413.140452382141,0.0,True,0,True,True
persistent_constant_bias,149,3.0,0.0,0.0,3.0,416.00948330146144,0.0,True,0,True,True
persistent_constant_bias,150,3.0,0.0,0.0,3.0,418.8785142207819,0.0,True,0,True,True
persistent_constant_bias,151,3.0,0.0,0.0,3.0,421.7475451401023,0.0,True,0,True,True
persistent_constant_bias,152,3.0,0.0,0.0,3.0,424.61657605942275,0.0,True,0,True,True
persistent_constant_bias,153,3.0,0.0,0.0,3.0,427.4856069787432,0.0,True,0,True,True
persistent_constant_bias,154,3.0,0.0,0.0,3.0,430.35463789806363,0.0,True,0,True,True
persistent_constant_bias,155,3.0,0.0,0.0,3.0,433.22366881738407,0.0,True,0,True,True
persistent_constant_bias,156,3.0,0.0,0.0,3.0,436.0926997367045,0.0,True,0,True,True
persistent_constant_bias,157,3.0,0.0,0.0,3.0,438.96173065602494,0.0,True,0,True,True
persistent_constant_bias,158,3.0,0.0,0.0,3.0,441.8307615753454,0.0,True,0,True,True
persistent_constant_bias,159,3.0,0.0,0.0,3.0,444.6997924946658,0.0,True,0,True,True
persistent_constant_bias,160,3.0,0.0,0.0,3.0,447.56882341398625,0.0,True,0,True,True
persistent_constant_bias,161,3.0,0.0,0.0,3.0,450.4378543333067,0.0,True,0,True,True
persistent_constant_bias,162,3.0,0.0,0.0,3.0,453.3068852526271,0.0,True,0,True,True
persistent_constant_bias,163,3.0,0.0,0.0,3.0,456.17591617194756,0.0,True,0,True,True
