controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,mean_solve_ms,mean_arb_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples
C3_arbitration_MPC,sensor_dropout,12027,10.810656565158586,4.575598479162928,0.21720760689484087,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6118.18282154939,86.33934113907841,0,0,0,172.62317933883114,0.02057848536558614,23.21189140000024,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,0.24266157344879957,0.21038944510755012,24.72405131897285,17.552986763654438,401
C1_sensor_MPC,sensor_dropout,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,166.53381487602636,0.0,21.719323999999688,0.26646262367276136,0.24164209401913903,,,0.26646262367276136,0.24164209401913903,24.86445613482535,17.660052334860957,401
C2_aux_recovery_MPC,sensor_dropout,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,163.66861404958024,0.0,22.07460919999994,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,24.86445613482535,17.660052334860957,401
C3_arbitration_MPC,sensor_dropout,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6109.220106031935,78.81318324455921,0,0,0,163.32926859502942,0.019786746979223675,22.054581100000178,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,0.26646262367276136,0.24164209401913903,24.86445613482535,17.660052334860957,401
C1_sensor_MPC,sensor_dropout,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,174.12777272726422,0.0,22.590198899999905,0.2566560131127232,0.22183117667674002,,,0.2566560131127232,0.22183117667674002,24.671425100822308,17.517804204409327,401
C2_aux_recovery_MPC,sensor_dropout,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,174.22935619835758,0.0,23.427956699999868,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,24.671425100822308,17.517804204409327,401
C3_arbitration_MPC,sensor_dropout,12029,10.80908178246011,4.562269804608031,0.1766789847895723,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,6074.508004056716,81.22692372213766,0,0,0,171.25553636365223,0.021392254724663506,23.09110839999994,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,0.2566560131127232,0.22183117667674002,24.671425100822308,17.517804204409327,401
C1_sensor_MPC,sensor_dropout,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,156.8738438016391,0.0,20.51016139999956,0.2686730170014824,0.2382698262588038,,,0.2686730170014824,0.2382698262588038,24.65711387699174,17.503363556749314,401
C2_aux_recovery_MPC,sensor_dropout,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,162.40619421487582,0.0,22.061438400000043,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,24.65711387699174,17.503363556749314,401
C3_arbitration_MPC,sensor_dropout,12030,10.803332013352339,4.51967927258613,0.18494706964949276,,0,0,4.01,0.6672212978369384,1,3.0,0.33277870216306155,0.6672212978369384,0.0,0.0,5985.76862031602,72.41299746486735,0,0,0,166.17351239669878,0.020597246112346028,22.539144899999883,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,0.2686730170014824,0.2382698262588038,24.65711387699174,17.503363556749314,401
C1_sensor_MPC,sensor_drift,12026,11.63322702459668,7.439972518155097,5.261042634225279,,1,1,0.06,0.009983361064891847,4,1.2,0.9900166389351082,0.009983361064891847,0.0,0.0,5250.915536086778,153.45464578563465,0,0,0,330.3331033057851,0.0,41.60478049999983,3.9466768545817046,3.9347033708588395,,,3.9466768545817046,3.9347033708588395,3.8119884243565307,3.80568392447608,6
C2_aux_recovery_MPC,sensor_drift,12026,11.63322702459668,7.439972518155097,5.261042634225279,,1,1,0.06,0.009983361064891847,4,1.2,0.9900166389351082,0.009983361064891847,0.0,0.0,5250.915536086778,153.45464578563465,0,0,0,332.94648925618446,0.0,42.77621840000029,3.9466768545817046,3.9347033708588395,0.3999430708589508,0.3696797509280767,3.9466768545817046,3.9347033708588395,3.8119884243565307,3.80568392447608,6
