controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events
D_adaptive,step_reference,12029,7.114448058050095,3.7955203528479693,22.710128608335555,302.1982007248652,20.062866971588775,5.140780897103436,1.0100000000000002,1.0100000000000002,7.114448058050095,22.710128608335555,302.1982007248652,20.062866971588775,7158.95536450774,157.46948819571574,0,0,0,0,0,72.01718099140861,131.55250000272645,167.08170000492828,2.0826446280991737,2.487603305785124,0.31724353217519763,0.0,0.0,0,0,,0.06156405990016639,0.0016638935108153079,0
A_PI,changing_reference,12029,9.710243669549344,7.732821336103782,46.37270759052383,564.6754013965235,20.062866971588775,52.32696827316002,,,9.710243669549344,46.37270759052383,564.6754013965235,20.062866971588775,5745.903265709494,44.07614269417367,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.532867909106862,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,changing_reference,12029,7.191326931898961,4.195619314835611,25.11507622369041,308.808179069683,20.06286697158908,35.27473014650136,0.6900000000000004,0.6900000000000004,7.191326931898961,25.11507622369041,308.808179069683,20.06286697158908,6617.357497070463,217.52139769237965,0,0,0,0,0,65.36732148733866,125.32089999876916,149.42729999893345,1.9421487603305785,2.2975206611570247,1.2834715631822462,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,changing_reference,12029,7.191324681817264,4.1956124492160205,25.11503494855724,308.8079845701734,20.06286697158908,35.274742426979415,0.6900000000000004,0.6900000000000004,7.191324681817264,25.11503494855724,308.8079845701734,20.06286697158908,6617.345428340524,217.51676789548353,0,0,0,0,0,68.46980661174719,119.28630000329576,153.41669999907026,1.9421487603305785,2.2975206611570247,1.2834925015506435,0.0016638935108153079,0.0016638935108153079,0,0,,0.0,0.0,0
D_adaptive,changing_reference,12029,7.191324681817264,4.1956124492160205,25.11503494855724,308.8079845701734,20.06286697158908,35.274742426979415,0.6900000000000004,0.6900000000000004,7.191324681817264,25.11503494855724,308.8079845701734,20.06286697158908,6617.345428340524,217.51676789548353,0,0,0,0,0,67.06295371896728,130.99379999766825,172.1527999980026,1.9421487603305785,2.2975206611570247,1.2834925015506435,0.0016638935108153079,0.0016638935108153079,0,0,,0.026622296173044926,0.013311148086522463,0
A_PI,load_disturbance,12029,11.299553727890993,6.460893047115965,38.65204370698968,761.2295764637927,35.062866971588775,19.364167891969664,2.34,1.0899999999999999,2.911576884190291,6.728280329994369,25.47675435117287,5.7447590655494665,8176.957405501199,27.51167625641839,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3625825015107864,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,load_disturbance,12029,10.819593945901168,4.786544137553726,28.587827184224274,697.4236117528744,35.062866971588775,7.060165162211953,1.51,0.0,0.8532927689499552,2.432900134716757,2.1879012429103417,1.6222320140340614,8319.774003628458,152.05017783965243,0,0,0,0,0,84.20354545463746,130.7740999982343,144.1084999969462,2.330578512396694,2.8925619834710745,0.4806002275556338,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,load_disturbance,12029,10.819354925624499,4.782443334646306,28.563095781473898,697.3923783829961,35.062866971588775,7.060165162211953,1.51,0.0,0.8472198284178949,2.4081687319663807,2.156667873032049,1.6222320140340614,8310.199782094784,150.23574772083055,0,0,0,0,0,85.15389173540329,127.52079999336274,168.3335000052466,2.2892561983471076,2.9008264462809916,0.4806002275556338,0.0016638935108153079,0.0016638935108153079,0,0,,0.0,0.0,0
D_adaptive,load_disturbance,12029,10.874001497265342,5.053499901488908,30.192502890300037,704.5176398338889,35.062866971588775,14.53882542747877,1.74,0.0,0.8702544174080495,2.4601404855912214,2.2763208342790553,1.7322552647232783,8573.190212842823,161.55302354435287,0,0,0,0,0,82.18013057843609,142.1258000045782,165.6301999973948,2.231404958677686,2.884297520661157,0.41333592565245425,0.0016638935108153079,0.0016638935108153079,0,0,,0.259567387687188,0.024958402662229616,0
A_PI,sensor_noise,12029,11.113285059581198,5.568699832341454,33.292422105424606,736.1406369029992,35.062866971588775,18.721084506276274,2.35,0.0,2.1369305405507495,3.500533045908174,8.997812651231424,5.198568714035403,5967.292017448274,51.6451122761394,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.24095578007796803,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,sensor_noise,12029,10.819771409346158,4.753292237408053,28.39181648832023,697.4503504831301,35.06286697160126,6.6509951359335115,1.49,0.0,1.0284580998007897,1.827932718436524,2.1126552060268393,1.596707946141791,6482.526106003152,254.20726013867815,0,0,0,0,0,79.41210247955789,139.0079999982845,172.76760000095237,2.322314049586777,2.71900826446281,0.43870475459972624,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,sensor_noise,12029,10.810212159755004,4.703737192854745,28.092099615526656,696.2066137203393,35.06286697160126,6.6509951359335115,1.49,0.0,0.5784577800578812,1.0953897009629001,0.6676928413877494,1.0114696343505258,6083.814402754797,97.00006181967017,0,0,0,0,0,54.66408677789294,130.51000000268687,175.95520000031684,1.487603305785124,1.8181818181818181,0.13083805568578555,0.6638935108153078,0.6638935108153078,0,0,,0.0,0.0,0
D_adaptive,sensor_noise,12029,10.823223961726393,4.7864655167955465,28.58923391133687,697.8983083188537,35.06286697160126,9.082031969052988,1.58,0.0,0.6903219062764865,1.2276381234437954,0.9512757068055617,1.4638363069340983,6238.699257233673,116.85892269457153,0,0,0,0,0,51.64474628071738,112.6527000014903,150.7848000037484,1.4958677685950412,1.8016528925619835,0.11783509442352624,0.6638935108153078,0.6638935108153078,0,0,,0.029950083194675542,0.0,0
A_PI,bias_5,12029,11.442392387584775,6.831759302788471,40.88087211731534,780.7525431929967,35.062866971588775,19.076338793079373,4.15,0.15000000000000036,5.011972675785747,9.171342308497021,50.06466385004839,7.175498367966021,5871.766139330757,30.853442476786167,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.351451098388317,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,bias_5,12029,10.943618728634302,5.494381604156722,32.845152488893376,713.6491394835863,35.062866971588775,6.132553737362413,1.46,0.21999999999999975,2.8662911324211633,5.3183504165177755,16.389351594143516,4.237231248750607,6596.177553588872,239.21212227737524,0,0,0,0,0,77.84833140498795,130.43610000022454,144.7310000003199,2.1818181818181817,2.677685950413223,0.9223035957771302,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,bias_5,12029,10.807188209630496,4.645464424728485,27.742116211194496,695.813952051032,35.062866971588775,6.132553737362413,1.46,0.0,0.4783985952523997,0.8519617917995664,0.4565463328009418,0.9092807483446705,6145.295720027221,107.12944112110733,0,0,0,0,0,49.33607520671246,109.01319999538828,138.36459999583894,1.4958677685950412,1.7685950413223142,0.14629336512224,0.6672212978369384,0.6672212978369384,0,0,,0.0,0.0,0
D_adaptive,bias_5,12029,10.93818382612929,5.233423664164422,31.276111151004166,712.9340080444588,35.062866971588775,18.2008560448774,2.29,0.0,1.4163334541814847,2.4726026398410723,4.0026896738778355,2.517949353278105,6864.382050372146,136.668443866236,0,0,0,0,0,59.50696528903671,113.37090000597527,133.87230000080308,1.8016528925619835,2.239669421487603,0.5976122128802572,0.6672212978369384,0.6672212978369384,0,0,,0.7986688851913477,0.03494176372712146,0
A_PI,bias_15,12029,12.89943875212926,9.289370795285201,55.653926541996185,993.9120685527903,35.062866971588775,19.331482739838016,4.54,0.54,10.870981355696493,19.51401739714773,235.76015523265943,15.035213889717859,5905.443464958179,40.27542606295278,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.8516178045456115,0.0,0.0,0,0,,0.0,0.0,0
B_plain_MPC,bias_15,12029,11.885268843449103,7.42454354184831,44.44568543285925,842.8451541496713,35.062866971588775,7.938745657227295,1.54,0.46999999999999975,7.8744234997482545,14.296867986390945,123.61173687618492,10.375706826724915,6550.032612557219,226.52827153176585,0,0,0,0,0,71.42884958654975,127.64529999549268,162.13620000053197,2.115702479338843,2.5041322314049586,1.7262866177951253,0.0,0.0,0,0,,0.0,0.0,0
C_sensor_MPC,bias_15,12029,10.808265901326376,4.551389076357618,27.17721623131942,695.9543241190191,35.062866971588775,7.938745657227295,1.54,0.0,0.1736573879508372,0.3043823161030451,0.05971082816437674,0.33744733440876473,6034.850371611425,72.19249630114493,0,0,0,0,0,45.19552809909305,112.4223999941023,131.7471000002115,1.3553719008264462,1.5537190082644627,0.10591828855608298,0.6672212978369384,0.6672212978369384,0,0,,0.0,0.0,0
D_adaptive,bias_15,12029,10.825227809052869,4.674049278378511,27.914477493359744,698.1597123882847,35.062866971588775,10.662253353030957,1.6400000000000001,0.0,0.2893840190416702,0.49576840504739095,0.1650015748255505,0.6270349821241155,6186.443803870002,91.09514341218616,0,0,0,0,0,50.534309090782834,109.68729999876814,136.0394000002998,1.43801652892562,1.6942148760330578,0.14252936496605173,0.6672212978369384,0.6672212978369384,0,0,,0.029950083194675542,0.004991680532445923,0
A_PI,sensor_dropout,12029,19.130808196280977,15.569612094094136,93.37228633691001,2193.325753898124,35.062866971588775,94.29537007485676,,,20.023146626304236,35.16875481887155,796.5409413063262,32.172105014345505,9712.980605183044,65.92668579894442,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.339588003252803,0.0,0.0,0,0,,0.0,0.0,0
