controller,scenario,seed,sub_samples,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse,corrupted_rmse,main_virtual_mae,aux_virtual_mae,selected_virtual_mae,corrupted_mae
C3_arbitration_MPC,parameter_variation,12029,2,0.1864758486280676,8.44871688158684,0.1864758486280676,0.831447037344655,0.18203585794303834,6.061054231704322,0.18203585794303834,0.8303574936319436
C1_sensor_MPC,combined_fault_load,12026,301,11.383953859562824,,11.383953859562824,3.257984285003048,10.366571187293195,,10.366571187293195,3.2477799855246996
C2_aux_recovery_MPC,combined_fault_load,12026,301,11.383953859562824,0.634183053004635,11.383953859562824,3.257984285003048,10.366571187293195,0.5200280699556852,10.366571187293195,3.2477799855246996
C3_arbitration_MPC,combined_fault_load,12026,301,2.0668660699932384,1.6751592999299512,1.9633070999939928,3.2579842850030474,1.7822165227382234,1.4581227528304217,1.6896425431040625,3.2477799855246996
C1_sensor_MPC,combined_fault_load,12027,302,11.801557784421348,,11.801557784421348,3.2810812767257893,10.904262676188653,,10.904262676188653,3.2695810159857834
C2_aux_recovery_MPC,combined_fault_load,12027,302,11.801557784421348,0.6681016673139841,11.801557784421348,3.2810812767257893,10.904262676188653,0.5366418337014985,10.904262676188653,3.2695810159857834
C3_arbitration_MPC,combined_fault_load,12027,302,2.0741650763610036,1.7770557618269718,1.9725622727636083,3.2810812767257898,1.7982105138314257,1.5646400066145973,1.708258991622093,3.269581015985783
C1_sensor_MPC,combined_fault_load,12028,301,11.727312076616599,,11.727312076616599,3.2477193466812646,10.819704461191893,,10.819704461191893,3.2378216006458973
C2_aux_recovery_MPC,combined_fault_load,12028,301,11.727312076616599,0.6287332140710616,11.727312076616599,3.2477193466812646,10.819704461191893,0.5183479623336862,10.819704461191893,3.2378216006458973
C3_arbitration_MPC,combined_fault_load,12028,301,2.0390073122880406,1.7664290233150304,1.9384060840376163,3.2477193466812646,1.7903809904544528,1.5561916531391142,1.6982925633711925,3.2378216006458973
C1_sensor_MPC,combined_fault_load,12029,302,11.61293181279217,,11.61293181279217,3.2522926216244077,10.65168774172046,,10.65168774172046,3.2400170248602698
C2_aux_recovery_MPC,combined_fault_load,12029,302,11.61293181279217,0.6489303663627011,11.61293181279217,3.2522926216244077,10.65168774172046,0.5298101115758711,10.65168774172046,3.2400170248602698
