controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,medium_mode_fraction,high_mode_fraction,safety_events
C_sensor_MPC,combined_fault_load,12027,11.119426491119782,6.304084574182228,37.694102537694704,736.8932402416284,35.062866971588775,8.689153745555902,1.57,,3.657467335715649,10.782414124695576,40.19687006157359,4.555088508430874,7937.859698182463,167.86414584578222,0,0,0,0,0,68.48895041317023,123.5341999999946,153.18780000234256,2.28099173553719,2.809917355371901,0.4651668140451797,0.04991680532445923,0.0,0.0,0
D_adaptive,combined_fault_load,12027,11.133348423842387,6.331413759792953,37.85773071544152,738.7504949056654,35.062866971588775,11.15472734130766,1.6500000000000001,,3.667607924479346,10.797244927037188,40.41582618728741,4.582522913560169,7871.720235939445,138.48436860216123,0,0,0,0,0,69.38332975184215,124.37789999967208,156.3386999987415,2.2148760330578514,2.909090909090909,0.5649424047147349,0.04991680532445923,0.3610648918469218,0.0,0
A_PI,nominal_tracking,12028,11.121297328141905,5.7480034366214765,34.369213806385055,737.211026912821,35.062866971588775,18.91261772107445,2.32,2.32,11.121297328141905,34.369213806385055,737.211026912821,35.062866971588775,5986.648454892183,25.810070974443516,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6623479898970075,0.0,0.0,0.0,0
B_plain_MPC,nominal_tracking,12028,10.809553481612932,4.544833882282174,27.138938486529753,696.1220906320597,35.062866971592044,8.063788017392284,1.54,1.54,10.809553481612932,27.138938486529753,696.1220906320597,35.062866971592044,6295.611526691233,151.84438075814282,0,0,0,0,0,68.56764875995073,126.64919999951962,151.910599997791,2.1487603305785123,2.760330578512397,0.7934157329757596,0.0,0.0,0.0,0
C_sensor_MPC,nominal_tracking,12028,10.80954928009502,4.544484513114094,27.13706663071143,696.1215811107735,35.062866971592044,8.063788017392284,1.54,1.54,10.80954928009502,27.13706663071143,696.1215811107735,35.062866971592044,6302.461281467982,153.62034416589177,0,0,0,0,0,70.9206950411822,132.13180000457214,200.33610000245972,2.15702479338843,2.7768595041322315,0.7934157329757596,0.0016638935108153079,0.0,0.0,0
D_adaptive,nominal_tracking,12028,10.82385329094823,4.607865824176517,27.517788528691863,697.9813113249896,35.062866971592044,10.757550561350595,1.6400000000000001,1.6400000000000001,10.82385329094823,27.517788528691863,697.9813113249896,35.062866971592044,6331.635798067533,149.9123703417728,0,0,0,0,0,64.85923884304438,121.081299999787,136.1073000007309,2.1983471074380163,2.7520661157024793,0.7818081730448725,0.0016638935108153079,0.03494176372712146,0.0,0
A_PI,step_reference,12028,7.191502129808638,4.645269501001401,27.81613274541662,308.8226439676829,20.062866971588775,10.145506263476314,0.8500000000000001,0.8500000000000001,7.191502129808638,27.81613274541662,308.8226439676829,20.062866971588775,6156.717181923303,28.311432330328646,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8225275602620101,0.0,0.0,0.0,0
B_plain_MPC,step_reference,12028,7.0604986666007,3.8070762563648644,22.779831920509835,297.6022579515437,20.062866971589113,4.89280713818971,0.71,0.71,7.0604986666007,22.779831920509835,297.6022579515437,20.062866971589113,7204.114469486049,174.47120358063933,0,0,0,0,0,62.61551239653317,110.50370000157272,156.79500000260305,2.115702479338843,2.5454545454545454,0.4485725737288817,0.0,0.0,0.0,0
C_sensor_MPC,step_reference,12028,7.060523123748258,3.8080138276639888,22.785465041935005,297.6043330955109,20.062866971589113,4.89280713818971,0.71,0.71,7.060523123748258,22.785465041935005,297.6043330955109,20.062866971589113,7205.393488784486,174.65345967848307,0,0,0,0,0,61.764597520484756,117.21079999551876,157.54960000049323,2.0991735537190084,2.5371900826446283,0.44904328435857366,0.0016638935108153079,0.0,0.0,0
D_adaptive,step_reference,12028,7.060487616168741,3.806757682762279,22.777988930094253,297.6013390613738,20.062866971589113,4.89280713818971,0.71,0.71,7.060487616168741,22.777988930094253,297.6013390613738,20.062866971589113,7203.306634767118,169.0969837204455,0,0,0,0,0,61.90467190080657,124.31040000228677,146.00119999522576,2.1074380165289255,2.652892561983471,0.3891246332075369,0.0016638935108153079,0.16971713810316139,0.0016638935108153079,0
A_PI,changing_reference,12028,9.661410793951774,7.678392767587264,46.04613584213829,558.9903778813964,20.062866971588775,51.71585688058936,,,9.661410793951774,46.04613584213829,558.9903778813964,20.062866971588775,5738.555227411388,43.412554929972835,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.690578778520013,0.0,0.0,0.0,0
B_plain_MPC,changing_reference,12028,7.176951154509493,4.2356518046374045,25.355541930382657,307.56674827850696,20.062866971589305,36.48225699101727,0.7300000000000004,0.7300000000000004,7.176951154509493,25.355541930382657,307.56674827850696,20.062866971589305,6669.72038618829,218.42656514568836,0,0,0,0,0,54.44083636387757,108.85300000518328,153.51479999662843,2.0165289256198347,2.2975206611570247,1.6766305678283793,0.0,0.0,0.0,0
C_sensor_MPC,changing_reference,12028,7.176951154509493,4.2356518046374045,25.355541930382657,307.56674827850696,20.062866971589305,36.48225699101727,0.7300000000000004,0.7300000000000004,7.176951154509493,25.355541930382657,307.56674827850696,20.062866971589305,6669.72038618829,218.42656514568836,0,0,0,0,0,54.16632314100294,98.92360000230838,133.84839999343967,2.0165289256198347,2.2975206611570247,1.6766305678283793,0.0,0.0,0.0,0
D_adaptive,changing_reference,12028,7.176951154509493,4.2356518046374045,25.355541930382657,307.56674827850696,20.062866971589305,36.48225699101727,0.7300000000000004,0.7300000000000004,7.176951154509493,25.355541930382657,307.56674827850696,20.062866971589305,6669.72038618829,218.42656514568836,0,0,0,0,0,60.52693471062134,115.37030000181403,156.47360000002664,2.0165289256198347,2.2975206611570247,1.6766305678283793,0.0,0.02329450915141431,0.013311148086522463,0
A_PI,load_disturbance,12028,11.27698833953147,6.437284721892016,38.50917612025785,758.1664508235859,35.062866971588775,18.97250323429544,2.32,1.08,2.876854542487701,6.750668950884804,24.87137699084659,5.6470622340344505,8166.829166969531,27.061034934135964,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.671109411244494,0.0,0.0,0.0,0
B_plain_MPC,load_disturbance,12028,10.822015005900885,4.82324002283833,28.80863595798173,697.738954021092,35.062866971588775,7.521966178950663,1.53,0.0,0.8733326294092896,2.533402737713236,2.2923395753950038,1.6368791729590342,8295.610883366773,130.18474366961877,0,0,0,0,0,74.48950909062006,124.4010000009439,160.09720000147354,2.371900826446281,2.925619834710744,0.3285817524531751,0.0,0.0,0.0,0
C_sensor_MPC,load_disturbance,12028,10.822015005900885,4.82324002283833,28.80863595798173,697.738954021092,35.062866971588775,7.521966178950663,1.53,0.0,0.8733326294092896,2.533402737713236,2.2923395753950038,1.6368791729590342,8295.610883366773,130.18474366961877,0,0,0,0,0,68.2475082644224,112.78519999905257,151.51000000332715,2.371900826446281,2.925619834710744,0.3285817524531751,0.0,0.0,0.0,0
D_adaptive,load_disturbance,12028,10.906286777472559,5.227605742695869,31.238874554012963,708.7437607536002,35.062866971588775,16.425538019307087,2.16,0.0,0.874269434101608,2.5234323070979157,2.29740533985764,1.6497732327879362,8686.548712826867,152.179549463759,0,0,0,0,0,65.85017107406675,110.47859999962384,135.71020000381395,2.206611570247934,2.7024793388429753,0.330207254069137,0.0016638935108153079,0.11314475873544093,0.019966722129783693,0
